lemmas_inflected	orig_inflected
ego	Ego
rainaldus	Rainaldus
dei	Dei
gratia	gratia
andecavensis	Andecavensis
episcopus	episcopus
omnibus	omnibus
sanctae	sanctae
matris	matris
aecclesiae	aecclesiae
filiis	filiis
aeternam	aeternam
in	in
christo	Christo
salutem	salutem
notum	Notum
fore	fore
volumus	volumus
universis	universis
tam	tam
praesentibus	praesentibus
quam	quam
futuris	futuris
et	et
maxime	maxime
posteris	posteris
nostris	nostris
id	id
est	est
rectoribus	rectoribus
hujus	hujus
sanctae	sanctae
sedis	sedis
andegavensis	Andegavensis
qualiter	qualiter
convenit	convenit
inter	inter
nos	nos
et	et
abbatem	abbatem
ac	ac
monachos	monachos
beati	beati
martini	Martini
majoris	Majoris
monasterii	Monasterii
de	de
querela	querela
quam	quam
habebamus	habebamus
super	super
altari	altari
dalmariaci	Dalmariaci
quod	quod
antecessores	antecessores
nostri	nostri
vendere	vendere
et	et
monachi	monachi
emere	emere
sub	sub
nomine	nomine
personae	personae
solebant	solebant
nos	Nos
ergo	ergo
hunc	hunc
symoniae	symoniae
ramum	ramum
cum	cum
sua	sua
radice	radice
omnimodis	omnimodis
abhorrentes	abhorrentes
supradictum	supradictum
dictum	altare
altare	eidem
eidem	abbati
abbati	ac
ac	monachis
monachis	sine
sine	ulla
ulla	personali
personali	emptione
emptione	perpetualiter
perpetualiter	habendum
habendum	concessimus
concessimus	ita
ita	ut
ut	singulis
singulis	annis
annis	pro
pro	quarta
quarta	oblationum
oblationum	quae
quae	nobis
nobis	canonice
canonice	competit
competit	X
x	solidos
solidos	in
in	festivitate
festivitate	sancti
sancti	Mauricii
mauricii	persolvant
persolvant	Actum
actum	Andegavis
andegavis	apud
apud	Sanctum
sanctum	Albinum
albinum	in
in	platea
platea	quae
quae	est
est	juxta
juxta	refectorium
refectorium	de
de	parte
parte	australi
australi	anno
anno	ab
ab	incarnatione
incarnatione	Domini
domini	MCII
mcii	indictione
indictione	X
x	epacta
epacta	nulla
nulla	concurrentibus
concurrentibus	IIobus
iiobus	pappa
pappa	Paschale
paschale	Philipo
philipo	rege
rege	Francorum
francorum	Fulcone
fulcone	Juniore
juniore	comite
comite	Andecavorum
andecavorum	presentibus
presentibus	his
his	testibus
testibus	ex
ex	utraque
utraque	parte
parte	in
in	quorum
quorum	presentia
presentia	hec
hec	quaerela
quaerela	definita
definita	est
est	Rainaldo
rainaldo	episcopo
episcopo	Andecavae
andecavae	sedis
sedis	Marbodo
marbodo	episcopo
episcopo	Redonensi
redonensi	et
et	archidiacono
archidiacono	Andecavensi
andecavensi	et
et	Alberico
alberico	decano
decano	et
et	capellano
capellano	episcopi
episcopi	Guillelmo
guillelmo	et
et	Guarnerio
guarnerio	archidiaconis
archidiaconis	Ricardo
ricardo	de
de	Valle
valle	canonico
canonico	Radulfo
radulfo	subcapellano
subcapellano	episcopi
episcopi	Mainerio
mainerio	canonico
canonico	Sancti
sancti	Laudi
laudi	De
de	parte
parte	monachorum
monachorum	Hilgodus
hilgodus	abbas
abbas	Andreas
andreas	frater
frater	ejus
ejus	Guillelmus
guillelmus	prior
prior	claustrensis
claustrensis	Giroinus
giroinus	Petrus
petrus	Laidellus
laidellus	Nicholaus
nicholaus	Guillelmus
guillelmus	Sparnonensis
sparnonensis	Guazo
guazo	et
et	alii
alii	Lectum
lectum	et
et	concessum
concessum	fuit
fuit	hoc
hoc	in
in	capitulo
capitulo	Sancti
sancti	Mauricii
mauricii	praesentibus
praesentibus	Rainaldo
rainaldo	episcopo
episcopo	et
et	canonicis
canonicis	ejus
ejus	pene
pene	omnibus
omnibus	et
et	concedentibus
concedentibus	et
et	aliis
aliis	pluribus
pluribus	
