lemmas_inflected	orig_inflected
gausbertum	Gausbertum
ludovici	Ludovici
qui	qui
michi	michi
solebant	solebant
frequenter	frequenter
suadere	suadere
ut	ut
majori	Majori
monasterio	Monasterio
facerem	facerem
aliquid	aliquid
elemosinae	elemosinae
pro	pro
anima	anima
patris	patris
mei	mei
sicut	sicut
fecerant	fecerant
antecessores	antecessores
mei	mei
tempore	Tempore
autem	autem
illo	illo
eram	eram
apud	apud
castrum	castrum
quod	quod
columbarium	Columbarium
vocatur	vocatur
unacum	unacum
prefata	prefata
conjuge	conjuge
mea	mea
volensque	volensque
ire	ire
in	in
jerusalem	Jerusalem
cum	cum
exercitu	exercitu
christianorum	Christianorum
contra	contra
paganos	paganos
jussu	jussu
papae	papae
romani	Romani
urbani	Urbani
scilicet	scilicet
secundi	secundi
euntium	euntium
parabam	parabam
quae	quae
necessaria	necessaria
erant	erant
itineri	itineri
meo	meo
venerunt	Venerunt
itaque	itaque
monachi	monachi
ad	ad
me	me
sicut	sicut
mandaveram	mandaveram
per	per
quod	quod
dedi	dedi
deo	Deo
et	et
patrono	patrono
meo	meo
beato	beato
martino	Martino
monachisque	monachisque
majoris	Majoris
monasterii	Monasterii
pro	pro
anima	anima
tetbaldi	Tetbaldi
patris	patris
mei	mei
precipue	precipue
et	et
deinde	deinde
pro	pro
animabus	animabus
mea	mea
et	et
adelae	Adelae
uxoris	uxoris
meae	meae
non	non
solum	solum
assensu	assensu
ejus	ejus
et	et
admonitione	admonitione
sed	sed
etiam	etiam
prece	prece
pro	pro
animabus	animabus
quoque	quoque
parentum	parentum
et	et
antecessorum	antecessorum
filiorumque	filiorumque
sed	sed
et	et
successorum	successorum
nostrorum	nostrorum
et	et
ut	ut
deus	Deus
interventu	interventu
beati	beati
martini	Martini
et	et
monachorum	monachorum
ejus	ejus
indulgeret	indulgeret
michi	michi
quicquid	quicquid
in	in
se	se
deliqueram	deliqueram
et	et
in	in
patrem	patrem
meum	meum
sanumque	sanumque
me	me
et	et
incolumem	incolumem
duceret	duceret
et	et
reducerer	reducerer
per	per
iter	iter
memoratum	memoratum
atque	atque
adelam	Adelam
sepedictam	sepedictam
conjugem	conjugem
meam	meam
liberosque	liberosque
nostros	nostros
custodiret	custodiret
quandam	quandam
partem	partem
cujusdam	cujusdam
alodii	alodii
nostri	nostri
id	id
est	est
bosci	bosci
qui	qui
silva	Silva
lognia	Lognia
dicitur	dicitur
ab	ab
omni	omni
prorsus	prorsus
consuetudine	consuetudine
solutissimam	solutissimam
atque	atque
liberrimam	liberrimam
precepi	precepi
quoque	quoque
ipsi	ipsi
conjugi	conjugi
meae	meae
quae	quae
remanebat	remanebat
ut	ut
ipsam	ipsam
partem	partem
faceret	faceret
determinari	determinari
ac	ac
metiri	metiri
per	per
manum	manum
cujusdam	cujusdam
prepositi	prepositi
nostri	nostri
guillelmi	Guillelmi
scilicet	scilicet
de	de
villariis	Villariis
cui	cui
ego	ego
ipse	ipse
jam	jam
illud	illud
idem	idem
precaeperam	precaeperam
limitesque	limitesque
poni	poni
faceret	faceret
undique	undique
et	et
sic	sic
eam	eam
monachis	monachis
traderet	traderet
ne	ne
quis	quis
videlicet	videlicet
inde	inde
quicquam	quicquam
ipsis	ipsis
ullo	ullo
modo	modo
minuere	minuere
vel	vel
demere	demere
unquam	unquam
posset	posset
augere	augere
autem	autem
eam	eam
liceat	liceat
cuicumque	cuicumque
successorum	successorum
nostrorum	nostrorum
deus	Deus
hoc	hoc
inspiraverit	inspiraverit
infra	Infra
terminos	terminos
igitur	igitur
illos	illos
ac	ac
limites	limites
nullus	nullus
unquam	unquam
aliquid	aliquid
violentiae	violentiae
cuilibet	cuilibet
inferre	inferre
audeat	audeat
vel	vel
manum	manum
mittere	mittere
in	in
ullam	ullam
rem	rem
gratia	gratia
nocendi	nocendi
vel	vel
extorquendi	extorquendi
quippiam	quippiam
vel	vel
etiam	etiam
surripiendi	surripiendi
presumat	presumat
sed	sed
omnium	omnium
rerum	rerum
quae	quae
inibi	inibi
quocumque	quocumque
modo	modo
fuerint	fuerint
consuetudines	consuetudines
redibitiones	redibitiones
forisfacturae	forisfacturae
justiciae	justiciae
vicariae	vicariae
districturae	districturae
exactiones	exactiones
emendationes	emendationes
leges	leges
sint	sint
in	in
aeternum	aeternum
beati	beati
martini	Martini
majoris	Majoris
monasterii	Monasterii
et	et
monachorum	monachorum
ejus	ejus
atque	Atque
ut	ut
omnia	omnia
breviter	breviter
concludantur	concludantur
sic	sic
liberum	liberum
et	et
solidum	solidum
habeant	habeant
deinceps	deinceps
ipsum	ipsum
locum	locum
sicut	sicut
antecessores	antecessores
nostri	nostri
et	et
nos	nos
temporibus	temporibus
retroactis	retroactis
habueramus	habueramus
eum	eum
insuper	Insuper
etiam	etiam
nichil	nichil
ibidem	ibidem
nobis	nobis
nichil	nichil
forestario	forestario
et	et
secretario	secretario
ulli	ulli
nichil	nichil
ulli	ulli
officialium	officialium
nostrorum	nostrorum
sive	sive
ministrorum	ministrorum
nichil	nichil
denique	denique
ulli	ulli
cuicumque	cuicumque
mortalium	mortalium
reservamus	reservamus
aut	aut
habendum	habendum
permittimus	permittimus
elemosinam	elemosinam
quippe	quippe
nostram	nostram
volumus	volumus
esse	esse
omnino	omnino
liberrimam	liberrimam
hoc	Hoc
enim	enim
solummodo	solummodo
habet	habet
homo	homo
ex	ex
universis	universis
facultatibus	facultatibus
et	et
possessionibus	possessionibus
suis	suis
quod	quod
inde	inde
christo	Christo
per	per
manus	manus
pauperum	pauperum
suorum	suorum
tribuerit	tribuerit
ipso	ipso
enim	enim
dicente	dicente
centuplum	Centuplum
illud	illud
recipiet	recipiet
et	et
vitam	vitam
aeternam	aeternam
possidebit	possidebit
est	Est
autem	autem
locus	locus
ipse	ipse
inter	inter
castrum	castrum
quod	quod
vocatur	vocatur
fracta	Fracta
vallis	Vallis
et	et
frigidum	Frigidum
mantellum	Mantellum
juxta	juxta
fluvium	fluvium
qui	qui
leda	Leda
nuncupatur	nuncupatur
rogavimus	Rogavimus
deinde	deinde
sepedictos	sepedictos
monachos	monachos
ut	ut
locum	locum
ipsum	ipsum
faciant	faciant
aedificari	aedificari
quanquam	quanquam
non	non
videatur	videatur
admodum	admodum
competens	competens
atque	atque
uber	uber
sive	sive
utilis	utilis
quod	quod
ut	ut
libentius	libentius
faciant	faciant
damus	damus
eis	eis
et	et
concedimus	concedimus
tam	tam
ad	ad
opus	opus
fratrum	fratrum
suorum	suorum
quos	quos
ibidem	ibidem
voluerint	voluerint
habitare	habitare
quam	quam
ad	ad
opus	opus
omnium	omnium
hospitum	hospitum
suorum	suorum
infra	infra
prefatos	prefatos
terminos	terminos
habitaturorum	habitaturorum
de	de
alia	alia
foreste	foreste
quam	quam
nobis	nobis
retinemus	retinemus
quantumcumque	quantumcumque
semper	semper
inde	inde
voluerint	voluerint
et	et
ad	ad
ardendum	ardendum
et	et
ad	ad
edificandum	edificandum
et	et
ad	ad
omnes	omnes
caeteros	caeteros
usus	usus
suos	suos
excepto	excepto
quod	quod
nichil	nichil
inde	inde
vendant	vendant
si	Si
qui	qui
vero	vero
eorumdem	eorumdem
hospitum	hospitum
fuerint	fuerint
carpentarii	carpentarii
dent	dent
forestagium	forestagium
tantummodo	tantummodo
forestariis	forestariis
nostris	nostris
et	et
inde	inde
operentur	operentur
atque	atque
vendant	vendant
quantum	quantum
opus	opus
eis	eis
fuerit	fuerit
qui	qui
hospites	hospites
omnes	omnes
per	per
totam	totam
terram	terram
nostram	nostram
sint	sint
ab	ab
omni	omni
consuetudine	consuetudine
liberrimi	liberrimi
si	Si
quis	quis
autem	autem
illorum	illorum
nobis	nobis
aut	aut
ministris	ministris
nostris	nostris
unquam	unquam
aliquid	aliquid
forisfecerit	forisfecerit
alicubi	alicubi
nullus	nullus
audeat	audeat
in	in
eum	eum
mittere	mittere
manum	manum
sed	sed
faciant	faciant
inde	inde
clamorem	clamorem
monachis	monachis
qui	Qui
si	si
fecerint	fecerint
eis	eis
inde	inde
justiciam	justiciam
benigne	benigne
suscipiant	suscipiant
eam	eam
sin	sin
autem	autem
differatur	differatur
causa	causa
donec	donec
in	in
presentia	presentia
nostra	nostra
examinetur	examinetur
sicut	sicut
nobis	nobis
competens	competens
videbitur	videbitur
agendum	agendum
de	de
elemosina	elemosina
nostra	nostra
habeant	Habeant
etiam	etiam
gratis	gratis
tam	tam
monachi	monachi
inibi	inibi
habitantes	habitantes
quam	quam
omnes	omnes
ejusdem	ejusdem
terre	terre
hospites	hospites
universis	universis
pecoribus	pecoribus
et	et
bestiis	bestiis
suis	suis
per	per
totam	totam
forestem	forestem
quam	quam
nobis	nobis
retinemus	retinemus
pascuas	pascuas
ubicunque	ubicunque
eis	eis
placuerit	placuerit
sine	sine
redibitione	redibitione
ullius	ullius
consuetudinis	consuetudinis
et	et
absque	absque
ullius	ullius
hominis	hominis
contradictione	contradictione
vel	vel
alicujus	alicujus
rei	rei
exactione	exactione
tempore	Tempore
quoque	quoque
pastionis	pastionis
mittant	mittant
ipsi	ipsi
monachi	monachi
porcos	porcos
suos	suos
in	in
forestem	forestem
illam	illam
nostram	nostram
et	et
nullum	nullum
pasnagium	pasnagium
inde	inde
reddant	reddant
sed	sed
insuper	insuper
pasnagium	pasnagium
de	de
omnibus	omnibus
porcis	porcis
suorum	suorum
hospitum	hospitum
ipsimet	ipsimet
habeant	habeant
de	De
extraneorum	extraneorum
vero	vero
porcis	porcis
qui	qui
in	in
terra	terra
sua	sua
illa	illa
jacuerint	jacuerint
et	et
in	in
pastionem	pastionem
nostram	nostram
cucurrerint	cucurrerint
nos	nos
et	et
ministri	ministri
nostri	nostri
habebimus	habebimus
pasnagium	pasnagium
porci	Porci
vero	vero
silvestres	silvestres
et	et
cervi	cervi
et	et
quaecunque	quaecunque
ferae	ferae
hujusmodi	hujusmodi
quae	quae
infra	infra
memoratos	memoratos
captae	captae
fuerint	fuerint
terminos	terminos
monachorum	monachorum
sint	sint
mote	mote
fuerint	fuerint
sint	sint
monachorum	monachorum
ubicumque	ubicumque
captae	captae
fuerint	fuerint
si	si
ministri	ministri
aut	aut
famuli	famuli
eorum	eorum
persecuti	persecuti
eas	eas
fuerint	fuerint
totus	Totus
denique	denique
procursus	procursus
ferarum	ferarum
8	Omnia
omnia	hec
hec	ideo
ideo	illis
illis	ego
ego	STEPHANUS
stephanus	comes
comes	et
et	uxor
uxor	mea
mea	Adela
adela	comitissa
comitissa	damus
damus	ut
ut	et
et	in
in	hac
hac	vita
vita	et
et	post
post	mortem
mortem	precibus
precibus	eorum
eorum	adjuvari
adjuvari	apud
apud	Deum
deum	mereamur
mereamur	et
et	tanto
tanto	copiosior
copiosior	merces
merces	sit
sit	inde
inde	nobis
nobis	quanto
quanto	locus
locus	ille
ille	melius
melius	fuerit
fuerit	edificatus
edificatus	Post
post	discessum
discessum	itaque
itaque	viri
viri	mei
mei	Stephani
stephani	comitis
comitis	in
in	Jerusalem
jerusalem	ut
ut	dictum
dictum	est
est	euntis
euntis	ego
ego	Adela
adela	comitissa
comitissa	precepti
precepti	ejus
ejus	non
non	oblita
oblita	sepedictam
sepedictam	partem
partem	bosci
bosci	memorati
memorati	id
id	est
est	silvae
silvae	Lonniae
lonniae	feci
feci	determinari
determinari	prout
prout	ipse
ipse	michi
michi	imperaverat
imperaverat	et
et	metiri
metiri	per
per	manum
manum	Guillelmi
guillelmi	de
de	Villariis
villariis	cui
cui	ipsemet
ipsemet	idem
idem	preceperat
preceperat	fecique
fecique	limites
limites	undique
undique	poni
poni	atque
atque	tradidi
tradidi	eam
eam	prefatis
prefatis	monachis
monachis	Majoris
majoris	Monasterii
monasterii	sicut
sicut	dictum
dictum	est
est	superius
superius	omnino
omnino	solutissimam
solutissimam	atque
atque	liberrimam
liberrimam	a
a	consuetudine
consuetudine	prorsus
prorsus	omni
omni	Unde
unde	et
et	presentem
presentem	cartam
cartam	sive
sive	preceptum
preceptum	tuitionis
tuitionis	gratia
gratia	immunitatisque
immunitatisque	impressione
impressione	sigilli
sigilli	mei
mei	ex
ex	auctoritate
auctoritate	ipsius
ipsius	viri
viri	mei
mei	atque
atque	mea
mea	sigillatum
sigillatum	et
et	assensu
assensu	liberorum
liberorum	nostrorum
nostrorum	in
in	presentium
presentium	testium
testium	circumstantium
circumstantium	quorum
quorum	nomina
nomina	subscribuntur
subscribuntur	dominicae
dominicae	crucis
crucis	impressione
impressione	propriis
propriis	manibus
manibus	facta
facta	roboratum
roboratum	et
et	auctorizatum
auctorizatum	ipsis
ipsis	id
id	est
est	monachis
monachis	Majoris
majoris	Monasterii
monasterii	tradidi
tradidi	Testium
testium	vero
vero	nomina
nomina	sunt
sunt	haec
haec	
