lemmas_inflected	orig_inflected
in	IN
nomine	NOMINE
summae	SUMMAE
et	ET
individuae	INDIVIDUAE
trinitatis	TRINITATIS
patris	PATRIS
et	ET
filii	FILII
et	ET
spiritus	SPIRITUS
sancti	SANCTI
ego	EGO
stephanus	STEPHANUS
comes	COMES
tetbaldi	TETBALDI
incliti	incliti
comitis	comitis
palatini	palatini
filius	filius
atque	atque
heres	heres
unacum	unacum
uxore	uxore
mea	mea
adela	Adela
nomine	nomine
illustris	illustris
anglorum	Anglorum
regis	regis
et	et
normannorum	Normannorum
ducis	ducis
nobilissimi	nobilissimi
guillelmi	Guillelmi
filia	filia
universos	universos
aecclesiae	aecclesiae
sanctae	sanctae
fideles	fideles
tam	tam
futuros	futuros
quam	quam
presentes	presentes
scire	scire
volumus	volumus
qualiter	qualiter
fecerimus	fecerimus
elemosinam	elemosinam
quandam	quandam
beato	beato
martino	Martino
majoris	Majoris
monasterii	Monasterii
et	et
monachis	monachis
ejus	ejus
ubi	ubi
comes	comes
odo	Odo
avus	avus
meus	meus
et	et
frater	frater
ejus	ejus
hugo	Hugo
biturigensis	Biturigensis
archiepiscopus	archiepiscopus
et	et
eorum	eorum
mater	mater
humati	humati
jacent	jacent
et	et
quod	quod
post	post
eversionem	eversionem
a	a
danis	Danis
factam	factam
extructum	extructum
et	et
amotis	amotis
canonicis	canonicis
facultatibus	facultatibus
suis	suis
auctum	auctum
monastico	monastico
ordini	ordini
qui	qui
ab	ab
initio	initio
antiquitus	antiquitus
a	a
tempore	tempore
beati	beati
martini	Martini
ibi	ibi
fuerat	fuerat
restituerunt	restituerunt
abbatemque	abbatemque
guillebertum	Guillebertum
nomine	nomine
posuerunt	posuerunt
a	a
sancto	sancto
maiolo	Maiolo
sibi	sibi
de	de
cluniaco	Cluniaco
datum	datum
quorum	quorum
sequens	sequens
vestigia	vestigia
pater	pater
meus	meus
tum	tum
pro	pro
reverentia	reverentia
et	et
amore	amore
gloriosi	gloriosi
confessoris	confessoris
christi	Christi
martini	Martini
tum	tum
pro	pro
religione	religione
monachorum	monachorum
inhabitantium	inhabitantium
eandem	eandem
abbatiam	abbatiam
de	de
substantia	substantia
sua	sua
honoravit	honoravit
admodum	admodum
et	et
augmentavit	augmentavit
et	et
quia	quia
pater	pater
suus	suus
apud	apud
eam	eam
sepultus	sepultus
erat	erat
in	in
tantum	tantum
caram	caram
habuit	habuit
ut	ut
cum	cum
totam	totam
turonicam	Turonicam
cum	cum
civitate	civitate
ipsa	ipsa
traderet	traderet
andegavorum	Andegavorum
comiti	comiti
gaufredo	Gaufredo
martello	Martello
qui	qui
eum	eum
caeperat	caeperat
in	in
redemptionem	redemptionem
sui	sui
ipsam	ipsam
tamen	tamen
id	id
est	est
abbatiam	abbatiam
majoris	Majoris
monasterii	Monasterii
nominatim	nominatim
exciperet	exciperet
atque	atque
sibi	sibi
in	in
proprio	proprio
suo	suo
dominio	dominio
retineret	retineret
quam	Quam
et	et
ego	ego
hactenus	hactenus
et	et
si	si
non	non
ut	ut
debui	debui
assidue	assidue
tutatus	tutatus
sum	sum
atque	atque
juvi	juvi
non	non
multum	multum
tamen	tamen
graviter	graviter
offendere	offendere
curavi	curavi
nec	nec
valde	valde
molestus	molestus
fui	fui
mortuo	Mortuo
denique	denique
patre	patre
meo	meo
timens	timens
ego	ego
eum	eum
minus	minus
honorando	honorando
vel	vel
minus	minus
ei	ei
parendo	parendo
me	me
ipsum	ipsum
quoad	quoad
vixerat	vixerat
offendisse	offendisse
cum	cum
sepius	sepius
inde	inde
conquererer	conquererer
et	et
cum	cum
prefata	prefata
conjuge	conjuge
mea	mea
et	et
amicis	amicis
ac	ac
familiaribus	familiaribus
meis	meis
plerumque	plerumque
inde	inde
loquerer	loquerer
tandem	tandem
post	post
annos	annos
circiter	circiter
sex	sex
accersivi	accersivi
duos	duos
quosdam	quosdam
monachorum	monachorum
jamdicti	jamdicti
monasterii	monasterii
familiares	familiares
meos	meos
bernardum	Bernardum
scilicet	scilicet
cognomento	cognomento
flagellum	Flagellum
et	et
