lemmas_inflected	orig_inflected
incipiunt	INCIPIUNT
ingenuitatis	INGENUITATIS
diverso	DIVERSO
modo	MODO
factas	FACTAS
ingenuetate	INGENUETATE
a	A
die	DIE
praesente	PRAESENTE
qui	Qui
debitum	debitum
sibi	sibi
nexum	nexum
relaxat	relaxat
servitium	servitium
mercedem	mercedem
in	in
futurum	futurum
apud	apud
dominum	Dominum
sibi	sibi
retribuere	retribuere
confidat	confidat
igitur	Igitur
ego	ego
in	in
dei	Dei
nomen	nomen
ille	ille
et	et
coniux	coniux
mea	mea
illa	illa
pro	pro
remedium	remedium
anime	anime
nostrae	nostrae
vel	vel
retributione	retributione
aeterna	aeterna
te	te
illo	illo
aut	aut
illa	illa
ex	ex
familia	familia
nostra	nostra
a	a
praesentae	praesentae
die	die
ab	ab
omni	omni
vinculum	vinculum
servitutis	servitutis
absolvimus	absolvimus
ita	ita
ut	ut
deinceps	deinceps
tamquam	tamquam
si	si
ab	ab
ingenuos	ingenuos
parentibus	parentibus
fuisses	fuisses
procreatus	procreatus
vitam	vitam
ducas	ducas
ingenuam	ingenuam
et	et
nulli	nulli
heredum	heredum
ac	ac
proheredum	proheredum
nostrorum	nostrorum
vel	vel
cuicumque	cuicumque
servitium	servitium
inpendas	inpendas
nec	nec
libertinitatis	libertinitatis
obsequium	obsequium
nisi	nisi
soli	soli
deo	Deo
cui	cui
omnia	omnia
subiecta	subiecta
sunt	sunt
peculiare	peculiare
concesso	concesso
quod	quod
habes	habes
aut	aut
deinceps	deinceps
elaborare	elaborare
potueris	potueris
et	Et
si	si
tibi	tibi
necessitas	necessitas
ad	ad
tua	tua
ingenuitate	ingenuitate
tuenda	tuenda
contingerit	contingerit
absque	absque
ullo	ullo
praeiuditio	praeiuditio
ingenuitatis	ingenuitatis
tue	tue
defensionem	defensionem
ecclesiae	ecclesiae
aut	aut
cuicumque	cuicumque
te	te
elegere	elegere
placuerit	placuerit
licentiam	licentiam
habeas	habeas
et	et
vitam	vitam
semper	semper
bene	bene
et	et
integra	integra
ducas	ducas
ingenua	ingenua
si	Si
quis	quis
vero	vero
quod	quod
futurum	futurum
esse	esse
non	non
credimus	credimus
nos	nos
ipsi	ipsi
quod	quod
absit	absit
aut	aut
aliquis	aliquis
de	de
heredibus	heredibus
nostris	nostris
vel	vel
qualibet	qualibet
opposita	opposita
persona	persona
contra	contra
hanc	hanc
ingenuitatem	ingenuitatem
tuam	tuam
venire	venire
aut	aut
eam	eam
infrangere	infrangere
conaverit	conaverit
aut	aut
te	te
in	in
servitio	servitio
inclinare	inclinare
voluerit	voluerit
divina	divina
illum	illum
ultio	ultio
subsequatur	subsequatur
et	et
a	a
limitibus	limitibus
aecclesiarum	aecclesiarum
vel	vel
a	a
communione	communione
extraneus	extraneus
efficiatur	efficiatur
et	et
insuper	insuper
inferat	inferat
tibi	tibi
cum	cum
cogente	cogente
fisco	fisco
auri	auri
libra	libra
una	una
et	argentum
argentum	pondo
pondo	quinque
quinque	et
quod	quod
repetit	repetit
vindicare	vindicare
non	non
valeat	valeat
sed	sed
praesens	praesens
ingenuitas	ingenuitas
omni	omni
tempore	tempore
firma	firma
permaneat	permaneat
stipulatione	Stipulatione
subnexa	subnexa
