lemmas_inflected	orig_inflected
mandatum	MANDATUM
domino	Domino
fratre	fratre
illo	illo
ille	ille
preco	Preco
et	et
subplico	subplico
dominationi	dominationi
vestrae	vestrae
dum	dum
et	et
causa	causa
pro	pro
alode	alode
aut	aut
qualemcumque	qualemcumque
cum	cum
homine	homine
nomen	nomen
illo	illo
in	in
palatio	palatio
aut	aut
ubilibet	ubilibet
habere	habere
videor	videor
ut	ut
ipsa	ipsa
causa	causa
suscipere	suscipere
ad	ad
mallandum	mallandum
vel	vel
prosequendum	prosequendum
in	in
vice	vice
mea	mea
debeas	debeas
et	et
cum	cum
suprascribto	suprascribto
illo	illo
ex	ex
hoc	hoc
rationare	rationare
vel	Vel
quicquid	quicquid
exinde	exinde
cum	cum
eo	eo
de	de
ipsa	ipsa
causa	causa
egeris	egeris
gesserisve	gesserisve
ratum	ratum
et	et
definitum	definitum
apud	apud
me	me
esse	esse
cognoscas	cognoscas
factum	Factum
mandatum	mandatum
sub	ibi
die	sub
illo	die
