lemmas_inflected	orig_inflected
concambio	CONCAMBIO
de	DE
villas	VILLAS
inter	Inter
quos	quos
caritas	caritas
inlibata	inlibata
permanserit	permanserit
pars	pars
parte	parte
beneficia	beneficia
oportuna	oportuna
prestantur	prestantur
quia	quia
nihil	nihil
sibi	sibi
de	de
rebus	rebus
propriis	propriis
censit	censit
minuendo	minuendo
quod	quod
econtra	econtra
recipit	recipit
in	in
augmentum	augmentum
ideo	Ideo
placuit	placuit
adque	adque
convenit	convenit
inter	inter
venerabile	venerabile
viro	viro
illo	illo
ex	ex
permisso	permisso
apostolico	apostolico
viro	viro
illo	illo
et	et
inlustris	inlustris
viro	viro
illo	illo
ut	ut
locella	locella
aliqua	aliqua
inter	inter
se	se
concambiare	concambiare
deberent	deberent
quod	Quod
ita	ita
et	et
fecerunt	fecerunt
dedit	Dedit
igitur	igitur
ille	ille
venerabile	venerabile
vir	vir
lui	lui
locello	locello
nuncupante	nuncupante
illo	illo
situm	situm
ibi	ibi
de	de
parte	parte
basilicae	basilicae
sancti	sancti
illius	illius
memorato	memorato
lui	lui
quicquid	quicquid
ibidem	ibidem
ad	ad
presens	presens
de	de
qualibet	qualibet
adtractu	adtractu
tenere	tenere
videbatur	videbatur
cum	cum
terris	terris
domibus	domibus
aedificiis	aedificiis
accolabus	accolabus
mancipiis	mancipiis
vineis	vineis
silvis	silvis
campis	campis
pratis	pratis
pascuis	pascuis
aquis	aquis
aquarumve	aquarumve
decursibus	decursibus
vel	vel
omnia	omnia
ibidem	ibidem
aspicientem	aspicientem
similiter	similiter
in	in
conpensationem	conpensationem
huius	huius
meriti	meriti
dedit	dedit
suprascribtus	suprascribtus
ille	ille
ad	ad
partem	partem
memorato	memorato
abbati	abbati
illo	illo
vel	vel
praedict[e]	praedicte
basilice	basilice
alio	alio
locello	locello
nuncupante	nuncupante
illo	illo
situm	situm
ibi	ibi
quicquid	quicquid
ibidem	ibidem
ad	ad
praesens	praesens
de	de
quodcumque	quodcumque
adtractu	adtractu
ibidem	ibidem
habere	habere
videbatur	videbatur
cum	cum
terris	terris
domibus	domibus
aedificiis	aedificiis
accolabus	accolabus
mancipiis	mancipiis
vineis	vineis
silvis	silvis
campis	campis
pratis	pratis
pascuis	pascuis
aquis	aquis
aquarumve	aquarumve
decursibus	decursibus
vel	vel
omnia	omnia
ibidem	ibidem
aspicientem	aspicientem
ita	ita
ut	ut
ab	ab
hac	hac
die	die
unusquisque	unusquisque
ex	ex
ipsis	ipsis
memorata	memorata
loca	loca
quod	quod
acceperunt	acceperunt
habendi	habendi
tenendi	tenendi
vel	vel
quicquid	quicquid
exinde	exinde
pro	pro
eorum	eorum
oportunitate	oportunitate
et	et
conpendio	conpendio
facere	facere
elegerint	elegerint
liberum	liberum
perfruantur	perfruantur
arbitrium	arbitrium
illud	Illud
vero	vero
addi	addi
convenit	convenit
ut	ut
si	si
aliqua	aliqua
pars	pars
ex	ex
ipsis	ipsis
aut	aut
heredis	heredis
vel	vel
successores	successores
eorum	eorum
hoc	hoc
emutare	emutare
vel	vel
refragare	refragare
voluerit	voluerit
rem	rem
quem	quem
accepit	accepit
amittat	amittat
et	et
insuper	insuper
inferat	inferat
pari	pari
suo	suo
qui	qui
hoc	hoc
facere	facere
praesumserit	praesumserit
auri	auri
libras	libras
tantas	tantas
argento	argento
pondo	pondo
tanta	tanta
et	et
quod	quod
repetit	repetit
vindicare	vindicare
non	non
valeat	valeat
sed	sed
praesens	praesens
conmutacio	conmutacio
unde	unde
duas	duas
epistulas	[epistulas]
inter	inter
se	se
unotenore	unotenore
conscribserunt	conscribserunt
firmas	firmas
et	et
inviolatas	inviolatas
omni	omni
tempore	tempore
permaneant	permaneat
stipulatione	Stipulatione
subnexa	subnexa
actum	Actum
illo	illo
