lemmas_inflected	orig_inflected
vinditio	VINDITIO
de	DE
servo	SERVO
aut	AUT
ancilla	ANCILLA
domino	Domino
fratri	fratri
illo	illo
illi	illi
constat	Constat
me	me
vobis	vobis
vindedisse	vindedisse
et	et
ita	ita
vindedi	vindedi
servo	servo
iuris	iuris
mei	mei
aut	aut
ancillam	ancillam
nomen	nomen
illa	illa
non	non
furo	furo
non	non
fugitivo	fugitivo
neque	neque
cadivo	cadivo
sed	sed
mente	mente
et	et
omne	omne
corpore	corpore
sano	sano
pro	Pro
quo	quo
accepi	accepi
a	a
vobis	vobis
in	in
pretio	pretio
iuxta	iuxta
quod	quod
mihi	mihi
complacuit	complacuit
auri	auri
solidus	solidus
probus	probus
adque	adque
pensantes	pensantes
numero	numero
tantum	tantum
et	et
ipso	ipso
servo	servo
vobis	vobis
presentaliter	presentaliter
tradidi	tradidi
possedendum	possedendum
ita	ita
ut	ut
ab	ab
hac	hac
die	die
habendi	habendi
tenendi	tenendi
vel	vel
quicquid	quicquid
exinde	exinde
decreveris	decreveris
faciendi	faciendi
liberum	liberum
potiaris	potiaris
arbitrium	arbitrium
si	Si
quis	quis
vero	vero
quod	quod
futurum	futurum
esse	esse
non	non
credimus	credimus
ego	ego
si	ipse
ipse	aut
aut	aliquis
aliquis	de
de	heredibus
heredibus	meis
meis	seu
seu	qualibet
qualibet	persona
persona	contra
contra	hanc
hanc	vinditionem
vinditionem	venire
venire	temtaverit
temtaverit	aut
aut	eam
eam	infrangere
infrangere	voluerit
voluerit	inferat
inferat	tibi
tibi	cum
cum	cogente
cogente	fisco
fisco	auri
auri	tantum
tantum	vel
vel	quantum
quantum	servus
servus	ipse
ipse	eo
eo	tempore
tempore	melioratus
melioratus	valuerit
valuerit	Et
et	haec
haec	vinditio
vinditio	omni
omni	tempore
tempore	firma
firma	permaneat
permaneat	Stipulatione
stipulatione	subnexa
subnexa	Actum
actum	illo
illo	sub
sub	die
die	illo
illo	anno
anno	illo
illo	
