lemmas_inflected	orig_inflected
confirmatio	CONFIRMATIO
quem	Quem
diuina	divina
pietas	pietas
sublimatur	sublimatur
ad	ad
regnum	regnum
condecet	condecet
facta	facta
conseruare	conservare
parentum	parentum
praecipue	praecipue
que	que
pro	pro
conpendiis	conpendiis
aecclesiarum	aecclesiarum
aut	aut
locis	locis
sanctorum	sanctorum
a	a
regale	regale
clemencia	clemencia
pro	pro
aeterna	aeterna
retributione	retributione
probatur	probatur
esse	esse
indultum	indultum
oportet	oportet
conseruare	conservare
in	in
euum	evum
igitur	Igitur
apostolicus	apostolicus
uir	vir
pater	pater
in	in
christo	Christo
noster	noster
ille	ille
illius	illius
urbis	urbis
episcopus	episcopus
clementiae	clementiae
regni	regni
nostri	nostri
detulit	detulit
in	in
notitia	notitia
quasi	quasi
ille	ille
rex	rex
per	per
sua	sua
praeceptione	praeceptione
sua	sua
manu	manu
subscripta	subscripta
ad	ad
aecclesia	aecclesia
illius	illius
quam	quam
praeesse	praeesse
dinoscitur	dinoscitur
uilla	villa
nuncupante	nuncupante
illa	illa
sitam	sitam
in	in
pago	pago
illo	illo
cum	cum
integritate	integritate
sua	sua
sub	sub
omni	omni
emunitate	emunitate
absque	absque
ullus	ullus
introitus	introitus
iudicum	iudicum
de	de
quaslibet	quaslibet
causas	causas
freda	freda
exigendum	exigendum
propter	propter
nomen	nomen
domini	Domini
concessisset	concessisset
et	Et
ipsam	ipsam
praeceptionem	praeceptionem
se	se
per	prae
manibus	manibus
habere	habere
adfirmat	adfirmat
et	et
memorata	memorata
uilla	villa
ipse	ipse
pontifex	pontifex
sub	sub
eodem	eodem
modo	modo
ad	ad
parte	parte
aecclesiae	aecclesiae
possidere	possidere
uideatur	videatur
petiit	Petiit
celsitudine	celsitudine
nostrae	nostrae
ut	ut
hoc	hoc
circa	circa
eodem	eodem
uel	vel
memorata	memorata
ecclesia	ecclesia
domni	domni
illius	illius
per	per
nostris	nostris
deberemus	deberemus
confirmare	confirmare
oraculis	oraculis
quod	Quod
nos	nos
propter	propter
nomen	nomen
domini	Domini
et	et
reuerentia	reverentia
ipsius	ipsius
sancti	sancti
loci	loci
uel	vel
merita	merita
praefato	praefato
pontifice	pontifice
gratante	gratante
animo	animo
praestitisse	praestitisse
et	et
confirmasse	confirmasse
cognoscite	cognoscite
praecipientes	Praecipientes
enim	enim
ut	ut
sicut	sicut
constat	constat
praefata	praefata
uilla	villa
a	a
iamdicto	iamdicto
principe	principe
memorate	memorate
aecclesiae	aecclesiae
illius	illius
cum	cum
integritate	integritate
sub	sub
omni	omni
emunitate	emunitate
fuisse	fuisse
concessa	concessa
et	et
eam	eam
ad	ad
praesens	praesens
possidere	possidere
uidetur	videtur
inspecta	Inspecta
ipsa	ipsa
cessione	cessione
per	per
hunc	hunc
praeceptum	praeceptum
plenius	plenius
in	in
dei	Dei
nomine	nomine
confirmatus	confirmatus
sub	sub
eo	eo
ordine	ordine
et	et
ipse	ipse
et	et
successores	successores
eorum	eorum
uel	vel
memorata	memorata
aecclesia	aecclesia
domni	domni
illius	illius
eam	eam
teneant	teneant
et	et
possideant	possideant
et	et
eorum	eorum
successoribus	successoribus
ad	ad
possedendum	possedendum
relinquant	relinquant
uel	vel
quicquid	quicquid
exinde	exinde
pro	pro
oportunitate	oportunitate
ipsius	ipsius
sancti	sancti
loci	loci
faciendum	faciendum
decreuerint	decreverint
ex	ex
nostro	nostro
permisso	permisso
liberam	liberam
habeant	habeant
potestatem	potestatem
et	Et
ut	ut
haec	haec
auctoritas	auctoritas
