lemmas_inflected	orig_inflected
donatio	DONATIO
de	DE
parva	PARVA
rem	REM
ad	AD
aecclesia	AECCLESIA
si	Si
aliquid	aliquid
de	de
rebus	rebus
nostris	nostris
locis	locis
sanctorum	sanctorum
vel	vel
in	in
substantia	substantia
pauperum	pauperum
conferimus	conferimus
hoc	hoc
nobis	nobis
procul	procul
dubium	dubium
in	in
aeterna	aeterna
beatitudine	beatitudine
retribuere	retribuere
confidimus	confidimus
ergo	Ergo
ego	ego
in	in
dei	Dei
nomine	nomine
illi	illi
in	in
amorem	amorem
domini	Domini
nostri	nostri
iesu	Iesu
christi	Christi
et	et
remissionem	remissionem
peccatorum	peccatorum
meorum	meorum
ut	ut
veniam	veniam
delictis	delictis
meis	meis
consequi	consequi
merear	merear
in	in
futurum	futurum
dono	dono
donatumque	donatumque
in	in
perpetuum	perpetuum
esse	esse
volo	volo
ad	ad
basilica	basilica
illa	illa
in	in
honore	honore
sancti	sancti
illius	illius
constructa	constructa
portionem	portionem
meam	meam
in	in
villa	villa
nuncupante	nuncupante
illa	illa
in	in
pago	pago
illo	illo
quicquid	Quicquid
ibidem	ibidem
ad	ad
praesens	praesens
tam	tam
de	de
alode	alode
parentum	parentum
vel	vel
de	de
qualibet	qualibet
adtractu	adtractu
possidere	possidere
videor	videor
totum	totum
et	et
ad	ad
integrum	integrum
ad	ad
praefata	praefata
basilica	basilica
volo	volo
esse	esse
donatum	donatum
ea	ea
videlicet	videlicet
ratione	ratione
ut	ut
dum	dum
advixero	advixero
sub	sub
usu	usu
beneficio	beneficio
tantum	tantum
eum	eum
absque	absque
ullo	ullo
praeiudicio	praeiudicio
vel	vel
deminucione	deminucione
aliqua	aliqua
de	de
qualibet	qualibet
rem	rem
antedictae	antedictae
basilicae	basilicae
excolere	excolere
debeam	debeam
post	Post
meum	meum
quoque	quoque
quando	quando
quidem	quidem
deus	Deus
de	de
ac	ac
luce	luce
voluerit	voluerit
discessum	discessum
de	de
praesente	praesente
absque	absque
cuiuslibet	cuiuslibet
iudicum	iudicum
aut	aut
heredum	heredum
meorum	meorum
expectata	expectata
tradicione	tradicione
aut	aut
contrarietate	contrarietate
cum	cum
terris	terris
domibus	domibus
aedificiis	aedificiis
accolabus	accolabus
mancipiis	mancipiis
campis	campis
vineis	vineis
silvis	silvis
pratis	pratis
pascuis	pascuis
aquis	aquis
aquarumve	aquarumve
decursibus	decursibus
vel	vel
reliquis	reliquis
quibuscumque	quibuscumque
beneficiis	beneficiis
abba	abba
de	de
ipsa	ipsa
basilica	basilica
vel	vel
agentes	agentes
eius	eius
in	in
eorum	eorum
debeant	debeant
dominatione	dominatione
revocare	revocare
perpetualiter	perpetualiter
possedendum	possedendum
habendi	habendi
tenendi	tenendi
vel	vel
quicquid	quicquid
exinde	exinde
pro	pro
oportunitate	oportunitate
antedictae	antedictae
ecclesiae	ecclesiae
elegerint	elegerint
faciendi	faciendi
liberam	liberam
in	in
omnibus	omnibus
habeant	habeant
potestatem	potestatem
si	Si
quis	quis
vero	vero
quod	quod
futurum	futurum
esse	esse
non	non
credimus	credimus
nos	nos
ipse	ipse
quod	quod
absit	absit
aut	aut
aliquis	aliquis
de	de
heredibus	heredibus
nostris	nostris
seu	seu
qualibet	qualibet
opposita	opposita
persona	persona
calliditate	calliditate
commotus	commotus
aut	aut
cupiditate	cupiditate
praeventus	praeventus
contra	contra
hanc	hanc
aepistolam	aepistolam
donationis	donationis
nostrae	nostrae
quam	quam
spontanea	spontanea
voluntate	voluntate
propter	propter
nomen	nomen
domini	Domini
fieri	fieri
decrevimus	decrevimus
venire	venire
aut	aut
eam	eam
infrangere	infrangere
conatus	conatus
fuerit	fuerit
imprimitus	inprimitus
iram	iram
trini	trini
magestatis	magestatis
incurrat	incurrat
et	et
cum	cum
suprascripto	suprascripto
sancto	sancto
illo	illo
ante	ante
tribunal	tribunal
christi	Christi
deducat	deducat
rationis	rationis
insuper	Insuper
inferat	inferat
partibus	partibus
ipsius	ipsius
basilice	basilice
cum	cum
cogente	cogente
fisco	fisco
auri	auri
tantum	tantum
argenti	argenti
tantum	tantum
et	et
quod	quod
repetit	repetit
vindicare	vindicare
non	non
valeat	valeat
sed	sed
praesens	praesens
aepistula	aepistula
omni	omni
tempore	tempore
firma	firma
et	et
inviolata	inviolata
permaneat	permaneat
stipulatione	Stipulatione
subnixa	subnixa
