lemmas_inflected	orig_inflected
notum	Notum
sit	sit
tam	tam
praesentis	praesentis
quam	quam
futuri	futuri
aevi	aevi
hominibus	hominibus
quod	quod
ego	ego
maino	MAINO
de	de
filgerias	Filgerias
emi	emi
quandam	quandam
portiunculam	portiunculam
terrae	terrae
quam	quam
vocant	vocant
vulgo	vulgo
campum	Campum
rainfredi	Rainfredi
vendentibus	vendentibus
eam	eam
mihi	mihi
sua	sua
sponte	sponte
quibusdam	quibusdam
militibus	militibus
eamque	eamque
dedi	dedi
beato	BEATO
martino	Martino
monachisque	monachisque
in	in
majori	Majori
monasterio	monasterio
deo	Deo
servientibus	servientibus
perenni	perenni
jure	jure
possidendam	possidendam
in	in
cunctis	cunctis
aetatum	aetatum
successionibus	successionibus
habetur	Habetur
autem	autem
ipsa	ipsa
terra	terra
inter	inter
duas	duas
vias	vias
publicas	publicas
cum	cum
nemore	nemore
parvo	parvo
vel	vel
silvula	silvula
quod	quod
inest	inest
tendens	tendens
ad	ad
stagnum	stagnum
hanc	Hanc
itaque	itaque
mihi	mihi
vendidit	vendidit
radulfus	Radulfus
cervus	Cervus
assentientibus	assentientibus
vuithenoco	Vuithenoco
suo	suo
filio	filio
ac	ac
ceteris	ceteris
suis	suis
parentibus	parentibus
ivone	Ivone
scilicet	scilicet
fratre	fratre
ejus	ejus
et	et
gualterio	Gualterio
de	de
clicun	Clicun
cum	cum
aliis	aliis
plurimis	plurimis
testibus	testibus
ergo	Ergo
ipsi	ipsi
radulfo	Radulfo
dedi	dedi
xxxa	XXXa
solidos	solidos
cen.,	Cen
vuillelmo	Vuillelmo
de	de
belmunt	Belmunt
x	X
solidos	solidos
cen.,	Cen
tetscelino	Tetscelino
vitrico	vitrico
suo	suo
v	V
solidos	solidos
cen.,	Cen
vualterio	Vualterio
calvo	Calvo
iii	III
solidos	solidos
testes	Testes
vero	vero
sunt	sunt
ego	ego
maino	Maino
cum	cum
adelaide	Adelaide
uxore	uxore
mea	mea
alveredus	Alveredus
frater	frater
meus	meus
ragan	Ragan
vicarius	vicarius
herveus	Herveus
forestarius	forestarius
haimericus	Haimericus
cordun	Cordun
bonel	Bonel
otgerius	Otgerius
de	de
perlena	Perlena
herveus	Herveus
filius	filius
hermeniot	Hermeniot
invaldus	Invaldus
radulfus	Radulfus
frater	frater
ejus	ejus
hugo	Hugo
filius	filius
adelaidis	Adelaidis
privignus	privignus
meus	meus
juhel	Juhel
filius	filius
meus	meus
[...15…	15
radulfus]	Radulfus
filius	filius
gyrvardi	Gyrvardi
walterius	Walterius
frater	frater
ejus	ejus
clemens	Clemens
de	de
caprignei	Caprignei
willelmus	Willelmus
filius	filius
tedhel	Tedhel
juhal	Juhal
rufus	Rufus
[…25…	25
de]	de
tailleped	Tailleped
[...25...]	25
terrae	terrae
portiunculam	portiunculam
in	in
villa	villa
caprignei	Caprignei
de	de
gausfrido	Gausfrido
perlena	Perlena
xl	XL
solidos	solidos
cen	Cen
eamque	eamque
praefato	praefato
tenore	tenore
[…30…]	30
hujus	Hujus
rei	rei
testes	testes
sumus	sumus
ego	ego
et	et
adelaidis	Adelaidis
uxor	uxor
mea	mea
hugo	Hugo
filius	filius
meus	meus
juhel	Juhel
filius	filius
meus	meus
eudo	Eudo
et	et
filii	filii
sui	sui
alveredus	Alveredus
frater	frater
meus	meus
[...30....curtelou]	[...30...curtelou]
radulfus	Radulfus
cervus	Cervus
vualterius	Vualterius
de	de
clicun	Clicun
ivo	Ivo
otgerius	Otgerius
frater	frater
gausfredi	Gausfredi
vualterius	Vualterius
frater	frater
ejus	ejus
[...25...]ardus	[...25...]ardus
filius	filius
hildeberti	Hildeberti
herveus	Herveus
filius	filius
hermeniot	Hermeniot
vualterius	Vualterius
adelais	Adelais
ivo	Ivo
tornaparc	Tornaparc
bonel	Bonel
[...15...gerius	[...15...gerius
v......]	V......]
vicarius	vicarius
[...7...on....rius]	[...7...on...rius]
johannes	Johannes
monachus	monachus
s[...]ius	S...ius
monachus	monachus
herveus	Herveus
albus	Albus
[...10...] 	[...10...]
niger	Niger
vuarinus	Vuarinus
filius	filius
[s...8...]	[S...8...]
[...15...]ti	[...15...]ti
adhuc	adhuc
puerum	puerum
tehel	Tehel
filius	filius
goscelini	Goscelini
de	de
[...]tornenc	[...]tornenc
clemens	Clemens
etiam	etiam
de	de
cujus	cujus
beneficio	beneficio
ide[m...15...] 	ide[m...15...]
[...]dem	[...]dem
terram	terram
habuerat	habuerat
huic	huic
placito	placito
interfuit	interfuit
et	et
consensit	consensit
cui	cui
ego	ego
v	V
solidos	solidos
ad	ad
hujus	hujus
rei	rei
testimonium	testimonium
dedi	dedi
[…10…]	[...10...]
kinoaret	Kinoaret
etiam	etiam
vicarius	vicarius
dederat	dederat
quandam	quandam
particulam	particulam
telluris	telluris
aecclesiae	aecclesiae
sancti	Sancti
salvatoris	Salvatoris
tempore	tempore
beacis	Beacis
presbiteri	presbiteri
et	et
dum	dum
postea	postea
[…8…]	[...8...]
[…12…]	[...12...]
turpiter	turpiter
abscessisset	abscessisset
prefatamque	prefatamque
tellurem	tellurem
idem	idem
kinovuaret	Kinovuaret
sibi	sibi
vendicavisset	vendicavisset
acceptis	acceptis
a	a
me	me
duobus	duobus
equis	equis
w	W
monachis	monachis
beati	Beati
martini	Martini
eam	eam
reddidit	reddidit
cujus	Cujus
rei	rei
ego	ego
testis	testis
sum	sum
uxor	uxor
quoque	quoque
mea	mea
adhelaidis	Adhelaidis
filiique	filiique
ejus	ejus
hugo	Hugo
et	et
juhelis	Juhelis
alveredus	Alveredus
frater	frater
meus	meus
alfredus	Alfredus
et	et
juhelis	Juhelis
filii	filii
ipsius	ipsius
alveredi	Alveredi
kinovuart	Kinovuart
filius	filius
hildeberti	Hildeberti
herveus	Herveus
filius	filius
hermeniot	Hermeniot
walterius	Walterius
adelais	Adelais
hermeniot	Hermeniot
filius	filius
aigae	Aigae
ebroinus	Ebroinus
johannes	Johannes
eques	eques
christianus	Christianus
frater	frater
ejus	ejus
radulfus	Radulfus
filius	filius
gyrvardi	Gyrvardi
walterius	Walterius
frater	frater
ejus	ejus
quidam	Quidam
quoque	quoque
milites	milites
mei	mei
videlicet	videlicet
ivo	Ivo
filius	filius
walterii	Walterii
radulfus	Radulfus
filius	filius
alterius	alterius
vualterii	Vualterii
kinovuaret	Kinovuaret
etiam	etiam
et	et
vualterius	Vualterius
clericus	clericus
diu	diu
calunniati	calunniati
sunt	sunt
donationem	donationem
aecclesiae	aecclesiae
sancti	Sancti
salvatoris	Salvatoris
quam	quam
beato	Beato
martino	Martino
suisque	suisque
monachis	monachis
feceram	feceram
scriptoque	scriptoque
roboraveram	roboraveram
afferentes	afferentes
se	se
patresque	patresque
suos	suos
duas	duas
partes	partes
ipsius	ipsius
aecclesiae	aecclesiae
in	in
pheu	pheu
habuisse	habuisse
antequam	antequam
ipsi	ipsi
beato	Beato
martino	Martino
dedissem	dedissem
eam	eam
horum	Horum
calunniam	calunniam
ne	ne
quoquomodo	quoquomodo
impedimento	impedimento
meae	meae
aelemosinae	aelemosinae
foret	foret
funditus	funditus
extinguere	extinguere
curavi	curavi
ipsasque	ipsasque
duas	duas
aecclesiae	aecclesiae
partes	partes
preciis	preciis
ab	ab
eis	eis
redemi	redemi
dedi	Dedi
ergo	ergo
ivoni	Ivoni
iiiior	IIIIor
libras	libras
denariorum	denariorum
omniaque	omniaque
arma	arma
militaria	militaria
et	et
unum	unum
optimum	optimum
equum	equum
radulfo	Radulfo
quoque	quoque
vi	VI
libras	libras
denariorum	denariorum
kinovuaret	Kinovuaret
etiam	etiam
ac	ac
walterio	Walterio
xii	XII
libras	libras
denariorum	denariorum
hoc	Hoc
facto	facto
omnem	omnem
calumniationem	calumniationem
prefatae	prefatae
aecclesiae	aecclesiae
dimiserunt	dimiserunt
participationemque	participationemque
benefactorum	benefactorum
monachorum	monachorum
sancti	Sancti
martini	Martini
susceperunt	susceperunt
huic	Huic
rei	rei
testes	testes
affuerunt	affuerunt
maino	Maino
cum	cum
adelaide	Adelaide
juhelis	Juhelis
ac	ac
radulfus	Radulfus
filii	filii
nostri	nostri
guillelmus	Guillelmus
et	et
hamelinus	Hamelinus
filii	filii
hervei	Hervei
alannus	Alannus
filius	filius
ansgerii	Ansgerii
herveus	Herveus
filius	filius
burcardi	Burcardi
radulfus	Radulfus
cervus	Cervus
ansgerius	Ansgerius
filius	filius
tedhel	Tedhel
et	et
frater	frater
ejus	ejus
gizualis	Gizualis
urvodius	Urvodius
et	et
tual	Tual
frater	frater
ejus	ejus
tetscelinus	Tetscelinus
filius	filius
hildeman	Hildeman
guillelmus	Guillelmus
filius	filius
tehel	Tehel
odricus	Odricus
filius	filius
gausfredi	Gausfredi
hugo	Hugo
filius	filius
rorigonis	Rorigonis
radulfus	Radulfus
filius	filius
isaac	Isaac
radulfus	Radulfus
filius	filius
goin	Goin
ansgerius	Ansgerius
filius	filius
gualterii	Gualterii
haimo	Haimo
filius	filius
bloc	Bloc
rotbertus	Rotbertus
filius	filius
episcopi	episcopi
bonel	Bonel
otgerius	Otgerius
de	de
perlena	Perlena
herveus	Herveus
filius	filius
hermeniot	Hermeniot
galterius	Galterius
adelais	Adelais
dederam	Dederam
etiam	etiam
deo	Deo
ac	ac
sepefato	sepefato
beato	Beato
martino	Martino
pro	pro
remedio	remedio
meae	meae
animae	animae
medietatem	medietatem
aecclesiae	aecclesiae
de	de
romaniaco	Romaniaco
cum	cum
medietate	medietate
omnium	omnium
rerum	rerum
quae	quae
ipsi	ipsi
aecclesiae	aecclesiae
videntur	videntur
attinere	attinere
idque	idque
ascitis	ascitis
conano	Conano
ac	ac
eudone	Eudone
comitibus	comitibus
cum	cum
plurimis	plurimis
optimatibus	optimatibus
patriae	patriae
scripto	scripto
curaveram	curaveram
mandare	mandare
hinc	Hinc
postmodum	postmodum
quidam	quidam
militum	militum
meorum	meorum
qui	qui
alteram	alteram
medietatem	medietatem
aecclesiae	aecclesiae
sibi	sibi
vendicabant	vendicabant
caeperunt	caeperunt
ipsis	ipsis
monachis	monachis
infensi	infensi
existere	existere
dicendo	dicendo
sibi	sibi
non	non
monachis	monachis
competere	competere
ad	ad
suum	suum
libitum	libitum
eidem	eidem
aecclesiae	aecclesiae
presbiterum	presbiterum
eligere	eligere
vel	vel
tribuere	tribuere
hac	Hac
occasione	occasione
eosdem	eosdem
calumpniatores	calumpniatores
et	et
quotquot	quotquot
valui	valui
meorum	meorum
amicorum	amicorum
congregavi	congregavi
et	et
aperta	aperta
ratione	ratione
non	non
ipsis	ipsis
sed	sed
mihi	mihi
meisque	meisque
antecessoribus	antecessoribus
primam	primam
potestatem	potestatem
mansisse	mansisse
antiquorum	antiquorum
senum	senum
veraci	veraci
testimonio	testimonio
comprobavi	comprobavi
sic	Sic
itaque	itaque
pinel	Pinel
filius	filius
hermeniot	Hermeniot
[...7...	[...7...
reliqui]	reliqui]
ratione	ratione
superati	superati
injustam	injustam
calunniam	calunniam
juste	juste
dimiserunt	dimiserunt
et	et
jamdictam	jamdictam
potestatem	potestatem
monachis	monachis
perpetuo	perpetuo
manere	manere
mecum	mecum
consenserunt	consenserunt
testes	Testes
ergo	ergo
tam	tam
primae	primae
meae	meae
donationis	donationis
quam	quam
hujus	hujus
sequentis	sequentis
calunniae	calunniae
cessionis	cessionis
hi	hi
sunt	sunt
conanus	Conanus
et	et
eudo	Eudo
comites	comites
ego	ego
et	et
adelais	Adelais
uxor	uxor
mea	mea
eudo	Eudo
et	et
juhel	Juhel
filii	filii
nostri	nostri
maino	Maino
filius	filius
radulfi	Radulfi
episcopi	Episcopi
willelmus	Willelmus
frater	frater
ejus	ejus
[...7...]	[...7...]
urvodius	Urvodius
tugal	Tugal
rivuallonus	Rivuallonus
de	de
dolo	Dolo
rotaldus	Rotaldus
vicarius	vicarius
normannus	Normannus
rodulfus	Rodulfus
herveus	Herveus
ingelbaldus	Ingelbaldus
agnes	Agnes
comitissa	comitissa
adila	Adila
abbatissa	abbatissa
albertus	Albertus
abbas	abbas
albertus	Albertus
et	et
benedictus	Benedictus
monachi	monachi
ademarus	Ademarus
johannes	Johannes
monachus	monachus
urvoius	Urvoius
monachus	monachus
vuillelmus	Vuillelmus
filius	filius
tihel	Tihel
[...]us	[...]us
haimericus	Haimericus
cordun	Cordun
vualterius	Vualterius
vicarius	vicarius
tetbaldus	Tetbaldus
presbiter	presbiter
