lemmas_inflected	orig_inflected
vinditio	VINDITIO
de	DE
villa	VILLA
domino	Domino
fratre	fratre
illo	illo
ille	ille
licet	Licet
empti	empti
vinditique	vinditique
contractus	contractus
sola	sola
pretii	pretii
adnumerationem	adnumerationem
et	et
rei	rei
ipsius	ipsius
traditione	traditione
consistat	consistat
ac	ac
tabularum	tabularum
aliorumque	aliorumque
documentorum	documentorum
ad	ad
hoc	hoc
tantum	tantum
interponatur	interponatur
instructio	instructio
ut	ut
fides	fides
rei	rei
facti	facti
et	et
iuris	iuris
ratio	ratio
conprobetur	conprobetur
idcirco	Idcirco
vindedisse	Vindedisse
me	me
tibi	tibi
constat	constat
et	et
ita	ita
vindedi	vindedi
villa	villa
iuris	iuris
mei	mei
nuncupante	nuncupante
illa	illa
sitam	sitam
in	in
pago	pago
illo	illo
quam	quam
ex	ex
legitima	legitima
successione	successione
parentum	parentum
vel	vel
de	de
qualibet	qualibet
modo	modo
ad	ad
eum	eum
pervenit	pervenit
habere	habere
videor	videor
in	in
integritate	integritate
cum	cum
terris	terris
domibus	domibus
aedificiis	aedificiis
acolabus	acolabus
mancipiis	mancipiis
vineis	vineis
silvis	silvis
campis	campis
pratis	pratis
pascuis	pascuis
aquis	aquis
aquarumve	aquarumve
decursibus	decursibus
adiecentiis	adiecentiis
apenditiis	apenditiis
vel	vel
omni	omni
merito	merito
et	et
termino	termino
ibidem	ibidem
aspicientem	aspicientem
et	Et
accepi	accepi
a	a
vobis	vobis
in	in
pretio	pretio
iuxta	iuxta
quod	quod
mihi	mihi
conplacuit	conplacuit
tantum	tantum
et	et
memorata	memorata
villa	villa
vobis	vobis
presentaliter	presentaliter
tradedi	tradedi
ad	ad
possedendum	possedendum
ita	ita
ut	ut
ab	ab
ac	ac
die	die
habendi	habendi
tenendi	tenendi
vel	vel
quicquid	quicquid
exinde	exinde
elegeris	elegeris
faciendi	faciendi
liberam	liberam
in	in
omnibus	omnibus
habeas	habeas
potestatem	potestatem
si	Si
quis	quis
vero	vero
quod	quod
futurum	futurum
esse	esse
non	non
credo	credo
si	si
ego	ego
ipse	ipse
aut	aut
aliquis	aliquis
de	de
heredibus	heredibus
vel	vel
proheredibus	proheredibus
meis	meis
seu	seu
qualibet	qualibet
opposita	opposita
persona	persona
contra	contra
hanc	hanc
vinditionem	vinditionem
venire	venire
temtaverit	temtaverit
aut	aut
me	me
male	male
vindidisse	vindidisse
convicerit	convicerit
et	et
a	a
me	me
vel	vel
heredibus	heredibus
meis	meis
defensatum	defensatum
non	non
fuerit	fuerit
tunc	tunc
inferamus	inferamus
vobis	vobis
heredibusque	heredibusque
vestris	vestris
dupla	dupla
pecuniam	pecunia
quantum	quantum
a	a
vobis	vobis
accepi	accepi
et	et
ipsa	ipsa
villa	villa
meliorata	meliorata
valuerit	valuerit
et	Et
quod	quod
repetit	repetit
vindicare	vindicare
non	non
valeat	valeat
sed	sed
presens	presens
vinditio	vinditio
omni	omni
tempore	tempore
firma	firma
permaneat	permaneat
stipulatione	Stipulatione
subnexa	subnexa
actum	Actum
