lemmas_inflected	orig_inflected
libellum	LIBELLUM
repudii	REPUDII
dum	Dum
et	et
inter	inter
illo	illo
et	et
coniuge	coniuge
sua	sua
illa	illa
non	non
caritas	caritas
secundum	secundum
deum	Deum
sed	sed
discordia	discordia
regnat	regnat
et	et
ob	ob
hoc	hoc
pariter	pariter
conversare	conversare
minime	minime
possunt	possunt
placuit	placuit
utrisque	utrisque
voluntas	voluntas
ut	ut
se	se
a	a
consortio	consortio
coniugali	coniugali
separare	separare
deberent	deberent
quod	Quod
ita	ita
et	et
fecerunt	fecerunt
propterea	Propterea
has	has
epistolas	epistolas
inter	inter
se	se
duas	duas
unotenore	unotenore
conscribtas	conscribtas
fieri	fieri
et	et
adfirmare	adfirmare
decreverunt	decreverunt
ut	ut
unusquisque	unusquisque
ex	ex
ipsis	ipsis
sive	sive
ad	ad
servitium	servitium
dei	Dei
in	in
monasterio	monasterio
aut	aut
copolam	copolam
matrimonii	matrimonii
sociare	sociare
voluerit	voluerit
licentiam	licentiam
habeat	habeat
et	et
nulla	nulla
requisitione	requisitione
ex	ex
hoc	hoc
de	de
parte	parte
proximi	proximi
sui	sui
habere	habere
non	non
debeat	debeat
si	Si
quis	quis
vero	vero
aliqua	aliqua
pars	pars
ex	ex
ipsis	ipsis
hoc	hoc
emutare	emutare
aut	aut
contra	contra
pare	pare
suo	suo
repetere	repetere
voluerit	voluerit
inferat	inferat
pari	pari
suo	suo
auri	auri
libra	libra
i	i
et	et
ut	ut
decreverunt	decreverunt
a	a
proprio	proprio
consortio	consortio
sequestrati	sequestrati
in	in
eam	eam
quam	quam
elegerint	elegerint
parte	parte
permaneant	permaneant
facta	Facta
epistola	epistola
ibi	ibi
sub	sub
die	die
illo	illo
anno	anno
illo	illo
regnante	regnante
gloriosissimo	gloriosissimo
illo	domno
rege	illo
