lemmas_inflected	orig_inflected
concambio	CONCAMBIO
de	DE
terra	TERRA
aut	AUT
vinea	VINEA
ideoque	Ideoque
placuit	placuit
atque	atque
convenit	convenit
inter	inter
illo	illo
et	et
illo	illo
ut	ut
terra	terra
aliqua	aliqua
aut	aut
prato	prato
aut	aut
vinea	vinea
seu	seu
qualibet	qualibet
inter	inter
se	se
commutare	commutare
deberent	deberent
quod	Quod
ita	ita
et	et
fecerunt	fecerunt
dedit	Dedit
igitur	igitur
ille	ille
illius	illius
campo	campo
in	in
loco	loco
nuncupante	nuncupante
illo	illo
habendi	habendi
tantum	tantum
qui	qui
subiungit	subiungit
a	a
latere	latere
uno	uno
illius	illius
ab	ab
alio	alio
latere	latere
aut	aut
fronte	fronte
illius	illius
simili	simili
modo	modo
econtra	econtra
in	in
conpenso	conpenso
dedit	dedit
ille	ille
illius	illius
alio	alio
campo	campo
ibi	ibi
aut	aut
in	in
alio	alio
loco	loco
habente	habente
tantum	tantum
qui	qui
subiungit	subiungit
de	de
lateribus	lateribus
aut	aut
frontibus	frontibus
illius	illius
ita	ita
ut	ut
ab	ab
hac	hac
die	die
unusquisque	unusquisque
ex	ex
ipsis	ipsis
quod	quod
accepit	accepit
habendi	habendi
tenendi	tenendi
vel	vel
quicquid	quicquid
exinde	exinde
elegerint	elegerint
faciendi	faciendi
liberam	liberam
habeant	habeant
potestatem	potestatem
si	Si
quis	quis
vero	vero
aliquis	aliquis
ex	ex
ipsis	ipsis
aut	aut
heredes	heredes
eorum	eorum
vel	vel
quicumque	quicumque
hoc	hoc
emutare	emutare
voluerit	voluerit
rem	rem
quam	quam
accepit	accipit
pari	pari
suo	suo
amittat	amittat
et	et
insuper	insuper
inferat	inferat
pari	pari
suo	suo
cum	cum
cogenti	cogenti
fisco	fisco
auri	auri
tantum	tantum
et	et
quod	quod
repetit	repetit
vindicare	vindicare
non	non
valeat	valeat
sed	sed
praesens	praesens
commutatio	commutatio
unde	unde
inter	inter
se	se
pro	pro
firmitatis	firmitatis
studium	studium
duas	duas
epistulas	[epistulas]
unotenore	unotenore
conscribserunt	conscribserunt
omni	omni
tempore	tempore
firma	firma
permaneat	permaneat
stipulatione	Stipulatione
subnexa	subnexa
actum	Actum
illo	illo
