lemmas_inflected	orig_inflected
conventionem	conventionem
concessit	concessit
gauterio	Gauterio
presbitero	presbitero
stephano	Stephano
theloneario	theloneario
alberto	Alberto
monaco	monaco
et	et
fromundo	Fromundo
bernerio	Bernerio
pellipario	pellipario
herberto	Herberto
presbitero	presbitero
hansgerio	Hansgerio
famulo	famulo
rogone	Rogone
quenoari	Quenoari
filio	filio
cum	Cum
vetustatis	vetustatis
caligine	caligine
plurima	plurima
oblivioni	oblivioni
tradantur	tradantur
si	si
qua	qua
memorari	memorari
volumus	volumus
scripto	scripto
commendemus	commendemus
robertus	Robertus
igitur	igitur
de	de
vendello	Vendello
beato	beato
martino	Martino
et	et
ejus	ejus
monachis	monachis
dimidiam	dimidiam
presbiterii	presbiterii
capelle	capelle
partem	partem
quam	quam
suam	suam
esse	esse
dicebat	dicebat
donavit	donavit
ammonitus	ammonitus
deo	Deo
dicente	dicente
date	Date
et	et
dabitur	dabitur
vobis	vobis
preterea	Preterea
omnia	omnia
que	que
beati	Beati
martini	Martini
monachi	monachi
habebant	habebant
eis	eis
omni	omni
tempore	tempore
quieta	quieta
concessit	concessit
de	de
fevo	fevo
videlicet	videlicet
patris	patris
sui	sui
unde	Unde
tamen	tamen
rainaudus	Rainaudus
sancti	Sancti
martini	Martini
monacus	monacus
xxx	XXX
et	et
quinque	quinque
solidos	solidos
ei	ei
in	in
caritatem	caritatem
donavit	donavit
et	et
xl	XL
silvestro	Silvestro
episcopo	episcopo
redonensi	Redonensi
pro	pro
elemosina	elemosina
concedenda	concedenda
quos	quos
episcopo	episcopo
silvestro	Silvestro
dari	dari
vidit	vidit
hernulfus	Hernulfus
archidiaconus	archidiaconus
hugo	Hugo
episcopi	episcopi
dapifer	dapifer
hamelinus	Hamelinus
archidianus	archidianus
rainaudus	Rainaudus
monacus	monacus
nunque	Nunque
tamen	tamen
sancti	Sancti
martini	Martini
monachi	monachi
supradictam	supradictam
elemosinam	elemosinam
habere	habere
potuerunt	potuerunt
donec	donec
in	in
tempore	tempore
alberti	Alberti
monachi	monachi
sed	Sed
tunc	tunc
demum	demum
robertus	Robertus
filgerias	Filgerias
donum	donum
suum	suum
super	super
sancte	sancte
trinitatis	Trinitatis
altare	altare
cum	cum
ipso	ipso
libro	libro
posuit	posuit
et	et
albertus	Albertus
monacus	monacus
ei	ei
sex	sex
solidos	solidos
et	et
duos	duos
nummos	nummos
dedit	dedit
videntibus	videntibus
beati	beati
confessoris	confessoris
monachis	monachis
alberto	Alberto
haimerico	Haimerico
mafredo	Mafredo
hernulfo	Hernulfo
herveo	Herveo
capelle	capelle
presbitero	presbitero
soples	Soples
de	de
rutoria	Rutoria
bernerio	Bernerio
hoberti	Hoberti
filio	filio
postea	Postea
vero	vero
ipse	ipse
robertus	Robertus
domum	domum
johannis	Johannis
berte	Berte
filii	filii
veniens	veniens
ubi	ubi
radulfus	Radulfus
phulgeriensis	Phulgeriensis
erat	erat
jam	jam
predictam	predictam
pactionem	pactionem
coram	coram
eo	eo
concessit	concessit
audientibus	audientibus
monachis	monachis
garino	Garino
et	et
alberto	Alberto
alvredo	Alvredo
rorgonis	Rorgonis
filio	filio
hugone	Hugone
fratre	fratre
ejus	ejus
alfredo	Alfredo
cervo	Cervo
ivone	Ivone
urvoii	Urvoii
filio	filio
juello	Juello
de	de
clicinio	Clicinio
hilgerio	Hilgerio
corbini	Corbini
filio	filio
bernerio	Bernerio
hoberti	Hoberti
filio	filio
