lemmas_inflected	orig_inflected
instabili	Instabili
fortuna	fortuna
rota	rota
cum	cum
plurima	plurima
vertat	vertat
proque	proque
novis	novis
veterum	veterum
veniant	veniant
oblivia	oblivia
rerum	rerum
tradatur	tradatur
scriptis	scriptis
si	si
quid	quid
volumus	volumus
memorari	memorari
notum	Notum
ergo	ergo
sit	sit
tam	tam
presentibus	presentibus
quam	quam
futuris	futuris
quod	quod
ejus	ejus
calumnie	calumnie
quam	quam
pinellus	Pinellus
indesinenter	indesinenter
contra	contra
beati	beati
martini	Martini
monacos	monacos
fecerat	fecerat
de	de
villa	villa
scilicet	scilicet
sancti	Sancti
salvatoris	Salvatoris
et	et
quibusdam	quibusdam
ejus	ejus
appendiciis	appendiciis
albertus	Albertus
monacus	monacus
finem	finem
fecit	fecit
in	in
tempore	tempore
radulfi	Radulfi
fulgeriarum	Fulgeriarum
domini	domini
et	et
bernardi	Bernardi
abbatis	abbatis
majoris	Majoris
monasterii	monasterii
centum	centum
decemque	decemque
solidos	solidos
pro	pro
calumnia	calumnia
omni	omni
tempore	tempore
dimittenda	dimittenda
attribuens	attribuens
pinello	Pinello
et	et
ejus	ejus
filiis	filiis
cujus	Cujus
rei	rei
testes	testes
infra	infra
scripti	scripti
sunt	sunt
radulfus	Radulfus
fulgeriensis	Fulgeriensis
pinellus	Pinellus
et	et
filii	filii
ejus	ejus
willelmus	Willelmus
et	et
hamelinus	Hamelinus
alfredus	Alfredus
cervus	Cervus
ivo	Ivo
urvoii	Urvoii
filius	filius
botcardus	Botcardus
de	de
castellario	Castellario
alvredus	Alvredus
rogonis	Rogonis
filius	filius
et	et
hugo	Hugo
frater	frater
ejus	ejus
robertus	Robertus
jugantis	Jugantis
filius	filius
juhellus	Juhellus
hulvoidi	Hulvoidi
filius	filius
gunterius	Gunterius
frumentarius	frumentarius
juhellus	Juhellus
de	de
clicinio	Clicinio
godefreduspotator	Godefredus
potator	potator
de	De
monachis	monachis
quoque	quoque
beati	beati
martini	Martini
albertus	Albertus
rivallonus	Rivallonus
willelmus	Willelmus
garinus	Garinus
de	de
lanrigan	Lanrigan
gaufridus	Gaufridus
de	de
gahardo	Gahardo
de	De
hominibus	hominibus
vero	vero
sancti	sancti
martini	Martini
hosmundus	Hosmundus
de	de
villa	villa
quae	quae
vulgo	vulgo
stulta	Stulta
nominatur	nominatur
gradolonus	Gradolonus
frater	frater
ejus	ejus
rainaldus	Rainaldus
drogonis	Drogonis
filius	filius
heudo	Heudo
sororis	sororis
ejus	ejus
ascelinus	Ascelinus
cognatus	cognatus
ejus	ejus
hansgerius	Hansgerius
geroardi	Geroardi
filius	filius
hanc	Hanc
quoque	quoque
calumniam	calumniam
dimiserunt	dimiserunt
duo	duo
minores	minores
filii	filii
mainus	Mainus
et	et
burcundus	Burcundus
in	in
domo	domo
pinelli	Pinelli
ibique	ibique
interfuerunt	interfuerunt
pinellus	Pinellus
et	et
ejus	ejus
filius	filius
willelmus	Willelmus
alfredus	Alfredus
cervus	Cervus
christianus	Christianus
thelonearius	thelonearius
muscardus	Muscardus
pepini	Pepini
filius	filius
hubertus	Hubertus
bonefilius	Bonefilius
preterea	Preterea
albertus	Albertus
monacus	monacus
cum	cum
hominibus	hominibus
sancti	Sancti
martini	Martini
herbertus	Herbertus
presbiter	presbiter
bonus	Bonus
amicus	Amicus
bernerius	Bernerius
pelliparius	pelliparius
hulvoidus	Hulvoidus
molendinarius	molendinarius
hansgerius	Hansgerius
famulus	famulus
namque	Namque
duo	duo
majores	majores
filii	filii
willelmus	Willelmus
et	et
hamelinus	Hamelinus
jam	jam
fulgerias	Fulgerias
supradictis	supradictis
testibus	testibus
audientibus	audientibus
cum	cum
patre	patre
suo	suo
concesserant	concesserant
postea	Postea
vero	vero
gaufridus	Gaufridus
mallardus	Mallardus
pinelli	Pinelli
filius	filius
qui	qui
quia	quia
in	in
normannia	Normannia
erat	erat
pactioni	pactioni
non	non
affuerat	affuerat
jam	jam
factam	factam
pactionem	pactionem
normannia	Normannia
regressus	regressus
concessit	concessit
audiente	audiente
willelmo	Willelmo
et	et
hamelino	Hamelino
fratribus	fratribus
ejus	ejus
alfredo	Alfredo
cervo	Cervo
hansgerio	Hansgerio
geroardi	Geroardi
filio	filio
rorgone	Rorgone
quinoardi	Quinoardi
filio	filio
alberto	Alberto
monaco	monaco
et	et
fromundo	Fromundo
hismalensi	Hismalensi
preterea	Preterea
vero	vero
pro	pro
eadem	eadem
calumnia	calumnia
pinello	Pinello
et	et
ejus	ejus
filiis	filiis
beati	Beati
martini	Martini
monachi	monachi
pepigerunt	pepigerunt
quod	quod
si	si
unus	unus
eorum	eorum
monachilem	monachilem
habitum	habitum
in	in
prefati	prefati
confessoris	confessoris
cenobio	cenobio
recipere	recipere
vellet	vellet
ibidem	ibidem
absque	absque
precio	precio
monacus	monacus
fieret	fieret
concesserunt	Concesserunt
etiam	etiam
pinello	Pinello
et	et
ejus	ejus
heredi	heredi
domum	domum
quamdam	quamdam
omni	omni
censu	censu
quietam	quietam
in	in
villa	villa
sancti	Sancti
salvatoris	Salvatoris
et	et
si	si
ei	ei
vel	vel
ejus	ejus
heredi	heredi
forte	forte
placeat	placeat
semel	semel
in	in
anno	anno
procurationem	procurationem
id	id
est	est
unum	unum
prandium	prandium
querere	querere
habeat	habeat
libentissime	libentissime
pro	Pro
hujus	hujus
modi	modi
etiam	etiam
conventione	conventione
radulfus	Radulfus
phulgeriensis	Phulgeriensis
omnia	omnia
que	que
eo	eo
die	die
pinellus	Pinellus
de	de
eo	eo
tenebat	tenebat
pinelli	Pinelli
filiis	filiis
absque	absque
relevamine	relevamine
concessit	concessit
hec	Hec
autem	autem
omnia	omnia
audierunt	audierunt
testes	testes
prius	prius
nominati	nominati
noscant	Noscant
tam	tam
presentes	presentes
quam	quam
futuri	futuri
cuntelini	Cuntelini
filios	filios
guethenocum	Guethenocum
scilicet	scilicet
et	et
gauterium	Gauterium
eam	eam
porciuculam	porciuculam
quam	quam
in	in
altari	altari
romaniace	Romaniace
eclesie	eclesie
habebant	habebant
sancto	sancto
martino	Martino
et	et
ejus	ejus
monachis	monachis
perhenniter	perhenniter
habendam	habendam
donasse	donasse
et	et
albertum	Albertum
monacum	monacum
eis	eis
caritatem	caritatem
id	id
est	est
quinque	quinque
solidos	solidos
attribuisse	attribuisse
teste	Teste
juallo	Juallo
eorum	eorum
domino	domino
qui	qui
et	et
ipse	ipse
