lemmas_inflected	orig_inflected
si	SI
aliquis	ALIQUIS
servo	SERVO
aut	AUT
gasindo	GASINDO
suo	SUO
aliquid	ALIQUID
concedere	CONCEDERE
voluerit	VOLUERIT
iustissimus	Iustissimus
nostris	nostris
sublevantur	sublevantur
muneribus	muneribus
qui	qui
nobis	nobis
fideliter	fideliter
et	et
instantia	instantia
famulantur	famulantur
officio	officio
ego	Ego
in	in
dei	Dei
nomen	nomen
ille	ille
fideli	fideli
nostro	nostro
illo	illo
pro	Pro
respectu	respectu
fidei	fidei
et	et
inservitii	inservitii
tui	tui
quia	quia
circa	circa
nos	nos
inpendere	inpendere
non	non
desistis	desistis
prumtissima	prumtissima
voluntate	voluntate
cedimus	cedimus
te	te
a	a
die	die
praesente	praesente
locello	locello
nuncupante	nuncupante
illo	illo
aut	aut
manso	manso
illo	illo
infra	infra
termino	termino
villa	villa
nostra	nostra
illa	illa
cum	cum
omni	omni
adiacentia	adiacentia
ad	ad
ipso	ipso
locello	locello
aut	aut
mansello	mansello
aspicientem	aspicientem
terris	terris
domibus	domibus
mancipiis	mancipiis
vineis	vineis
pratella	pratella
silvola	silvola
vel	vel
reliquis	reliquis
beneficiis	beneficiis
ibidem	ibidem
aspicientibus	aspicientibus
ita	ita
ut	ut
ab	ab
hoc	hoc
die	die
ipso	ipso
iure	iure
proprietario	proprietario
si	si
ita	ita
convenit	convenit
aut	aut
sub	sub
reditus	reditus
terre	terre
in	in
tua	tua
revoces	revoces
potestate	potestate
et	Et
nulla	nulla
functione	functione
aut	aut
reditus	reditus
terrae	terrae
vel	vel
pascuario	pascuario
aut	aut
agrario	agrario
carropera	carropera
aut	aut
quodcumque	quodcumque
dici	dici
potest	potest
exinde	exinde
solvere	solvere
nec	nec
tu	tu
nec	nec
tua	tua
posteritas	posteritas
nobis	nobis
nec	nec
heredibus	heredibus
nostris	nostris
nec	nec
quicumque	quicumque
post	post
nos	nos
ipsa	ipsa
villa	villa
possederit	possederit
non	non
debeatis	debeatis
nisi	nisi
tantum	tantum
si	si
ita	ita
vult	vult
riga	riga
sed	sed
ipsum	ipsum
omnibus	omnibus
diebus	diebus
vite	vite
tuae	tuae
aut	aut
haeredis	haeredis
tui	tui
emuniter	emuniter
debeatis	debeatis
possedere	possedere
vel	vel
quicquid	quicquid
exinde	exinde
facere	facere
volueritis	volueritis
liberam	liberam
habeatis	habeatis
potestatem	potestatem
si	Si
quis	quis
vero	vero
quod	quod
futurum	futurum
esse	esse
non	non
credimus	credimus
aliquis	aliquis
de	de
heredibus	heredibus
nostris	nostris
vel	vel
quicumque	quicumque
contra	contra
hanc	hanc
cessionem	cessionem
nostram	nostram
agere	agere
aut	aut
ipsa	ipsa
rem	rem
tibi	tibi
auferre	auferre
conaverit	conaverit
inferat	inferat
tibi	tibi
cum	cum
cogente	cogente
fisco	fisco
auri	auri
tantum	tantum
et	et
hanc	hanc
epistula	epistola
firma	firma
permaneat	permaneat
cum	Cum
stipulatione	stipulatione
subnexa	subnexa
