lemmas_inflected	orig_inflected
epistola	EPISTOLA
cum	CUM
in	IN
loco	LOCO
filiorum	FILIORUM
nepotes	NEPOTES
instituentur	INSTITUENTUR
ab	AB
avo	AVO
dulcissimis	Dulcissimis
nepotibus	nepotibus
meis	meis
illis	illis
illi	illi
dum	Dum
et	et
peccatis	peccatis
meis	meis
facientibus	facientibus
genetrix	genetrix
vestra	vestra
filia	filia
mea	mea
illa	illa
quod	quod
non	non
obtaveram	obtaveram
tempore	tempore
naturae	naturae
suae	suae
conplente	conplente
ab	ab
hac	hac
luce	luce
discessit	discessit
ego	ego
vero	vero
pensans	pensans
consanguinitatis	consanguinitatis
causa	causa
dum	dum
et	et
per	per
lege	lege
cum	cum
ceteris	ceteris
filiis	filiis
meis	meis
avunculis	avunculis
vestris	vestris
in	in
alode	alode
mea	mea
accidere	accidere
minime	minime
potueratis	potueratis
ideo	ideo
per	per
hanc	hanc
epistolam	epistolam
vos	vos
dulcissimi	dulcissimi
nepotis	nepotis
mei	mei
volo	volo
ut	ut
in	in
omni	omni
alode	alode
mea	mea
post	post
meum	meum
discessum	discessum
si	si
mihi	mihi
suprestis	suprestis
fueritis	fueritis
hoc	hoc
est	est
tam	tam
terris	terris
domibus	domibus
accolabus	accolabus
mancipiis	mancipiis
vineis	vineis
silvis	silvis
campis	campis
pratis	pratis
pascuis	pascuis
aquis	aquis
aquarumve	aquarumve
decursibus	decursibus
mobilibus	mobilibus
et	et
inmobilibus	inmobilibus
peculium	peculium
utriusque	utriusque
sexus	sexus
maiore	maiore
vel	vel
minore	minore
omnique	omnique
supellectile	supellectile
domus	domus
in	in
quodcumque	quodcumque
dici	dici
potest	potest
quicquid	quicquid
supradicta	supradicta
genetrix	genetrix
vestra	vestra
si	si
mihi	mihi
suprestis	suprestis
fuisset	fuisset
de	de
alode	alode
mea	mea
recipere	recipere
potuerat	potuerat
vos	vos
contra	contra
avunculos	avunculos
vestros	vestros
filios	filios
meos	meos
praefata	praefata
portione	portione
recipere	recipere
faciatis	faciatis
et	Et
dum	dum
ipsius	ipsius
filiae	filiae
meae	meae
genetricae	genetricae
vestrae	vestrae
quando	quando
eam	eam
nuptam	nuptam
tradedi	tradedi
in	in
aliquid	aliquid
de	de
rebus	rebus
meis	meis
movilibus	movilibus
dra[pp]os	drappos
et	et
fabricaturas	fabricaturas
vel	vel
aliqua	aliqua
mancipia	mancipia
in	in
soledos	soledos
tantos	tantos
tradedi	tradedi
vobis	vobis
hoc	hoc
in	in
parte	parte
vestra	vestra
supputare	supputare
contra	contra
filiis	filiis
meis	meis
faciatis	faciatis
et	Et
si	si
amplius	amplius
vobis	vobis
insuper	insuper
de	de
praesidio	praesidio
nostro	nostro
obvenerit	obvenerit
tunc	tunc
cum	cum
filiis	filiis
meis	meis
abunculis	abunculis
vestris	vestris
portionem	portionem
vobis	vobis
ex	ex
hoc	hoc
debita	debita
recipiatis	recipiatis
et	Et
quicquid	quicquid
exinde	exinde
de	de
omnia	omnia
superius	superius
conscripta	conscripta
facere	facere
volueritis	volueritis
liberam	liberam
habeatis	habeatis
in	in
omnibus	omnibus
potestatem	potestatem
si	Si
quis	quis
vero	vero
quod	quod
futurum	futurum
esse	esse
non	non
credimus	credimus
aliquis	aliquis
de	de
heredibus	heredibus
vel	vel
proheredibus	proheredibus
meis	meis
vel	vel
qualibet	qualibet
persona	persona
contra	contra
hanc	hanc
epistulam	epistolam
venire	venire
temtaverit	temtaverit
aut	aut
eam	eam
infrangere	infrangere
voluerit	voluerit
inferat	inferat
vobis	vobis
tantum	tantum
et	et
quod	quod
repetit	repetit
nullatenus	nullatenus
vindicare	vindicare
valeat	valeat
sed	sed
praesens	praesens
epistula	epistula
omni	omni
tempore	tempore
firma	firma
permaneat	permaneat
cum	Cum
stipulatione	stipulatione
subnexa	subnexa
actum	Actum
illo	illo
