lemmas_inflected	orig_inflected
qui	QUI
se	SE
in	IN
servitio	SERVITIO
alterius	ALTERIUS
obnoxiat	OBNOXIAT
domino	Domino
mihi	mihi
proprio	proprio
illo	illo
ille	ille
dum	Dum
instigante	instigante
adversario	adversario
fragilitatem	fragilitatem
meam	meam
praevalente	praevalente
in	in
casus	casus
gravis	gravis
cecidi	cecidi
unde	unde
mortis	mortis
periculum	periculum
incurrere	incurrere
potueramus	potueramus
sed	sed
dum	dum
vestra	vestra
pietas	pietas
me	me
iam	iam
morte	morte
adiudicatum	adiudicatum
de	de
pecunia	pecunia
vestra	vestra
redemistis	redemistis
vel	vel
pro	pro
mea	mea
scelera	scelera
res	res
vestras	vestras
quamplures	quamplures
dedistis	dedistis
et	et
ego	ego
de	de
rebus	rebus
meis	meis
unde	unde
vestra	vestra
beneficia	beneficia
rependere	rependere
debuissem	debuissem
non	non
habeo	habeo
ideo	ideo
pro	pro
hoc	hoc
statum	statum
ingenuitatis	ingenuitatis
mei	mei
vobis	vobis
visus	visus
sum	sum
obnoxiasse	obnoxiasse
ita	ita
ut	ut
ab	ab
hac	hac
die	die
de	de
vestro	vestro
servitio	servitio
paenitus	paenitus
non	non
discedam	discedam
sed	sed
quicquid	quicquid
reliqui	reliqui
servi	servi
vestri	vestri
faciunt	faciunt
pro	pro
vestro	vestro
aut	aut
agentum	agentum
vestrorum	vestrorum
imperio	imperio
facere	facere
spondeo	spondeo
quod	Quod
si	si
non	non
fecero	fecero
aut	aut
me	me
per	per
qualibet	qualibet
ingenio	ingenio
de	de
servitio	servitio
vestro	vestro
abstrahere	abstrahere
voluero	voluero
vel	vel
dominio	dominio
alterius	alterius
expetire	expetire
aut	aut
rebus	rebus
suscipere	suscipere
voluero	voluero
licentia	licentia
habeatis	habeatis
me	me
qualemcumque	qualemcumque
volueritis	volueritis
disciplinam	disciplinam
inponere	inponere
vel	vel
venundare	venundare
aut	aut
quod	quod
vobis	vobis
placuerit	placuerit
de	de
me	me
facere	facere
facta	Facta
obnoxiacione	obnoxiatione
tunc	tunc
sub	sub
die	die
illo	illo
