lemmas_inflected	orig_inflected
notum	Notum
sit	sit
posteris	posteris
nostris	nostris
scilicet	scilicet
monachis	monachis
beati	beati
martini	MARTINI
majoris	Majoris
monasterii	Monasterii
hanc	hanc
convenientiam	convenientiam
cum	cum
domno	domno
goscelino	Goscelino
de	de
doxeiaco	Doxeiaco
et	et
cum	cum
lucia	Lucia
uxore	uxore
ejus	ejus
nos	nos
habuisse	habuisse
habebat	Habebat
enim	enim
duo	duo
molendina	molendina
in	in
sclusa	sclusa
sua	sua
ad	ad
dangeiacum	Dangeiacum
quarterium	quarterium
unius	unius
quorum	quorum
habebamus	habebamus
nunc	nunc
autem	autem
alium	alium
quartarium	quartarium
ejusdem	ejusdem
molendini	molendini
dat	dat
nobis	nobis
hoc	hoc
est	est
monachis	monachis
majoris	Majoris
monasterii	Monasterii
nosque	nosque
tertium	tertium
molendinum	molendinum
in	in
eadem	eadem
sclusa	sclusa
ex	ex
integro	integro
semel	semel
secundum	secundum
pactum	pactum
quod	quod
inter	inter
nos	nos
est	est
faciemus	faciemus
quod	quod
commune	commune
erit	erit
inter	inter
nos	nos
et	et
ipsum	ipsum
ita	ita
ut	ut
medietas	medietas
una	una
ipsius	ipsius
nostra	nostra
sit	sit
altera	altera
vero	vero
domni	domni
goscelini	Goscelini
erimusque	erimusque
per	per
omnia	omnia
pares	pares
in	in
dominio	dominio
praedicti	praedicti
molendini	molendini
et	et
ejus	ejus
molendinarii	molendinarii
nos	nos
et	et
domnus	domnus
goscelinus	Goscelinus
postquam	Postquam
autem	autem
in	in
praedicto	praedicto
molendino	molendino
novo	novo
aliquid	aliquid
inveteratum	inveteratum
fuerit	fuerit
de	de
communi	communi
restaurabitur	restaurabitur
in	In
quo	quo
molendino	molendino
molendinarium	molendinarium
equaliter	equaliter
ponemus	ponemus
et	et
auferemus	auferemus
et	et
judicabimus	judicabimus
et	et
fidelitatem	fidelitatem
accipiemus	accipiemus
et	et
si	si
quid	quid
dederit	dederit
alicui	alicui
nostrum	nostrum
pro	pro
praedicto	praedicto
molendino	molendino
in	in
commune	commune
venire	venire
debet	debet
hoc	Hoc
quoque	quoque
pactum	pactum
est	est
inter	inter
nos	nos
et	et
ipsum	ipsum
goscelinum	Goscelinum
quod	quod
nullatenus	nullatenus
pro	pro
qualicumque	qualicumque
forisfacto	forisfacto
nostro	nostro
vel	vel
alicujus	alicujus
hominis	hominis
nostri	nostri
sasiet	sasiet
illa	illa
praedicta	praedicta
communia	communia
molendina	molendina
sed	sed
veniet	veniet
dalmariacum	Dalmariacum
ibique	ibique
ei	ei
de	de
nobis	nobis
vel	vel
de	de
hominibus	hominibus
nostris	nostris
faciemus	faciemus
justitiam	justitiam
si	si
quid	quid
injuste	injuste
a	a
nobis	nobis
vel	vel
ab	ab
hominibus	hominibus
nostris	nostris
actum	actum
fuerit	fuerit
in	in
eum	eum
de	de
ipsis	ipsis
communibus	communibus
molendinis	molendinis
si	Si
quis	quis
vero	vero
hominum	hominum
nostrorum	nostrorum
qui	qui
communiter	communiter
ut	ut
pactum	pactum
est	est
inter	inter
nos	nos
et	et
ipsum	ipsum
sicut	sicut
et	et
ejus	ejus
homines	homines
debent	debent
molere	molere
ad	ad
praedicta	praedicta
tria	tria
molendina	molendina
quorum	quorum
duo	duo
sunt	sunt
communia	communia
tercium	tercium
vero	vero
est	est
solius	solius
goscelini	Goscelini
si	si
quis	quis
inquam	inquam
de	de
hominibus	hominibus
nostris	nostris
ad	ad
aliud	aliud
molendinum	molendinum
moluerit	moluerit
et	et
convictus	convictus
inde	inde
fuerit	fuerit
medietas	medietas
moldure	moldure
reddetur	reddetur
domno	domno
goscelino	Goscelino
prior	prior
autem	autem
dalmariaci	Dalmariaci
faciet	faciet
justitiam	justitiam
suam	suam
de	de
homine	homine
suo	suo
hoc	Hoc
etiam	etiam
notum	notum
sit	sit
quod	quod
idem	idem
goscelinus	Goscelinus
et	et
uxor	uxor
ejus	ejus
concesserunt	concesserunt
et	et
dederunt	dederunt
nobis	nobis
hoc	hoc
est	est
monachis	monachis
majoris	Majoris
monasterii	Monasterii
medietatem	medietatem
totius	totius
piscationis	piscationis
inter	inter
rotorum	rotorum
praefatorum	praefatorum
trium	trium
molendinorum	molendinorum
et	et
decimam	decimam
omnium	omnium
piscium	piscium
qui	qui
capientur	capientur
in	in
porta	porta
praenominatae	praenominatae
sclusae	sclusae
goscelini	Goscelini
facientque	facientque
ut	ut
infantes	infantes
eorum	eorum
concedant	concedant
nobis	nobis
haec	haec
omnia	omnia
quando	quando
ad	ad
intelligibilem	intelligibilem
aetatem	aetatem
venerint	venerint
sicut	sicut
pactum	pactum
est	est
inter	inter
nos	nos
si	Si
autem	autem
hanc	hanc
convenientiam	convenientiam
infregerint	infregerint
ipsi	ipsi
vel	vel
heraedes	heraedes
eorum	eorum
molendinum	molendinum
nostrum	nostrum
quod	quod
fecimus	fecimus
ducemus	ducemus
quo	quo
voluerimus	voluerimus
quartario	quartario
nostro	nostro
alterius	alterius
molendini	molendini
nobis	nobis
relicto	relicto
haec	Haec
omnia	omnia
promittentes	promittentes
se	se
servaturos	servaturos
inde	inde
donum	donum
super	super
altare	altare
sancti	sancti
martini	Martini
dalmariacensis	Dalmariacensis
manu	manu
sua	sua
posuerunt	posuerunt
goscelinus	Goscelinus
et	et
lucia	Lucia
uxor	uxor
ejus	ejus
hanc	Hanc
convenientiam	convenientiam
et	et
hoc	hoc
donum	donum
audierunt	audierunt
vel	vel
viderunt	viderunt
hi	hi
quorum	quorum
nomina	nomina
subterscripta	subterscripta
sunt	sunt
de	De
monachis	monachis
ernaldus	Ernaldus
prior	prior
dalmariaci	Dalmariaci
qui	qui
hanc	hanc
convenientiam	convenientiam
fecit	fecit
gosfridus	Gosfridus
prior	prior
sabloii	Sabloii
rodulfus	Rodulfus
crispellus	Crispellus
johannes	Johannes
camerarius	camerarius
evanus	Evanus
sacrista	sacrista
fulco	Fulco
presbiter	presbiter
de	de
sabloio	Sabloio
rainaldus	Rainaldus
clericus	clericus
de	de
luarceiaco	Luarceiaco
gosfredus	Gosfredus
polcetus	Polcetus
goslenus	Goslenus
redonensis	Redonensis
rainaldus	Rainaldus
de	de
fontana	Fontana
fulcoius	Fulcoius
richeldis	Richeldis
dobinus	Dobinus
isembertus	Isembertus
clericus	clericus
andreas	Andreas
blan[	Blan
8	]nus
]nus	Gordus
gordus	villanus
villanus	Haimo
haimo	filius
filius	Bermundi
bermundi	Vitalis
vitalis	frater
frater	Alberici
alberici	carpentarii
carpentarii	Gosbertus
gosbertus	Gaze[
gaze[	fam]uli
fam]uli	Majoris
majoris	Monasterii
monasterii	Ex
ex	parte
parte	Goscelini
goscelini	Mauricius
mauricius	de
de	Lenceiaco
lenceiaco	Mainardus
mainardus	de
de	La
la	Preia
preia	Gosfridus
gosfridus	Doxeiacum
doxeiacum	Guillelmus
guillelmus	de
de	Bierniaco
bierniaco	Radulfus
radulfus	Cordons
cordons	Actum
actum	Dalmariaci
dalmariaci	anno
anno	ab
ab	incarnatione
incarnatione	Domini
domini	MCIIII
mciiii	concurrentibus
concurrentibus	V
v	epacta
epacta	XXII
xxii	indictione
indictione	XII
xii	priore
priore	ejusdem
ejusdem	loci
loci	domno
domno	Ernaldo
ernaldo	monacho
monacho	
