lemmas_inflected	orig_inflected
notum	Notum
sit	sit
praesentibus	praesentibus
et	et
futuris	futuris
quod	quod
guaferius	Guaferius
donavit	donavit
beato	beato
martino	Martino
majoris	Majoris
monasterii	monasterii
et	et
monachis	monachis
suis	suis
terram	terram
quam	quam
habebat	habebat
apud	apud
machicollum	Machicollum
illam	illam
videlicet	videlicet
quam	quam
monachi	monachi
majoris	Majoris
monasterii	monasterii
colebant	colebant
ad	ad
triticum	triticum
de	De
laicis	laicis
viderunt	viderunt
et	et
audierunt	audierunt
testes	testes
isti	isti
budicus	Budicus
filius	filius
aurici	Aurici
9	us
us	us
us	Arnulfus]
8	de
arnulfus]	Cessiaco
de	[A
cessiaco	ndus
[a	Gualterius]
ndus	famuli
gualterius]	monachorum
famuli	De
monachorum	[monachis]
de	Bernardus
[monachis]	Albertus
bernardus	Tetbaudus
8	
albertus	
tetbaudus	
